,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00359,-0.01061,0.00197
1,mesa_raw,ADE,-0.11136,-0.28894,0.05556
2,mesa_raw,Total Effect,-0.11512,-0.29509,0.05412
3,mesa_raw,Prop. Mediated,0.03118,0.0065,0.05345
4,mesa_imputed,ACME,-0.002,-0.00684,0.00141
5,mesa_imputed,ADE,-0.08009,-0.2175,0.0603
6,mesa_imputed,Total Effect,-0.08342,-0.21976,0.0552
7,mesa_imputed,Prop. Mediated,0.02402,0.00301,0.04469
8,mesa_pre,ACME,0.00017,-0.00196,0.00249
9,mesa_pre,ADE,-0.10861,-0.22552,0.00802
10,mesa_pre,Total Effect,-0.10664,-0.22471,0.01109
11,mesa_pre,Prop. Mediated,-0.00161,-0.0197,0.01531
