,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00398,-0.01122,0.00191
1,mesa_raw,ADE,-0.10655,-0.27379,0.05175
2,mesa_raw,Total Effect,-0.11032,-0.27968,0.04967
3,mesa_raw,Prop. Mediated,0.03606,0.01872,0.05217
4,mesa_imputed,ACME,-0.00208,-0.00671,0.00165
5,mesa_imputed,ADE,-0.07654,-0.22312,0.0604
6,mesa_imputed,Total Effect,-0.08033,-0.22473,0.05842
7,mesa_imputed,Prop. Mediated,0.02584,0.00543,0.04249
8,mesa_cate,ACME,-0.00885,-0.01739,-0.00109
9,mesa_cate,ADE,-0.16297,-0.30312,-0.02054
10,mesa_cate,Total Effect,-0.1765,-0.31618,-0.0361
11,mesa_cate,Prop. Mediated,0.05014,0.03398,0.06366
12,mesa_pre,ACME,-0.00664,-0.01348,-0.00035
13,mesa_pre,ADE,-0.11544,-0.22947,-0.00653
14,mesa_pre,Total Effect,-0.13171,-0.24593,-0.02318
15,mesa_pre,Prop. Mediated,0.05043,0.01978,0.06365
