,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.0699,0.00267,0.14505
1,mesa_raw,ADE,0.18373,0.00797,0.36195
2,mesa_raw,Total Effect,0.1845,0.01033,0.36218
3,mesa_raw,Prop. Mediated,0.37883,0.27571,0.47629
4,mesa_imputed,ACME,0.00887,-0.0054,0.02248
5,mesa_imputed,ADE,0.09601,-0.05844,0.23988
6,mesa_imputed,Total Effect,0.09608,-0.05893,0.23994
7,mesa_imputed,Prop. Mediated,0.09228,0.06815,0.11619
8,mesa_cate,ACME,-0.01357,-0.04002,0.00178
9,mesa_cate,ADE,0.1225,-0.01665,0.27359
10,mesa_cate,Total Effect,0.13096,-0.00811,0.28262
11,mesa_cate,Prop. Mediated,-0.10358,-0.20012,-0.01258
12,mesa_pre,ACME,-0.00492,-0.0121,0.00158
13,mesa_pre,ADE,0.08203,-0.02706,0.19285
14,mesa_pre,Total Effect,0.08603,-0.0241,0.20246
15,mesa_pre,Prop. Mediated,-0.05724,-0.09854,-0.02101
