,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00076,-0.00372,0.0012
1,mesa_raw,ADE,0.04409,-0.05323,0.13767
2,mesa_raw,Total Effect,0.04305,-0.05265,0.13627
3,mesa_raw,Prop. Mediated,-0.01764,-0.0439,0.00748
4,mesa_imputed,ACME,-0.00039,-0.00232,0.00091
5,mesa_imputed,ADE,0.02997,-0.05677,0.11544
6,mesa_imputed,Total Effect,0.02931,-0.0577,0.1147
7,mesa_imputed,Prop. Mediated,-0.01337,-0.03536,0.00741
8,mesa_pre,ACME,-0.00049,-0.00233,0.00116
9,mesa_pre,ADE,0.026,-0.05185,0.10541
10,mesa_pre,Total Effect,0.02558,-0.05187,0.10509
11,mesa_pre,Prop. Mediated,-0.01925,-0.03771,-0.00072
