,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00147,-0.00504,0.00197
1,mesa_raw,ADE,0.04487,-0.0581,0.14474
2,mesa_raw,Total Effect,0.04473,-0.05849,0.14503
3,mesa_raw,Prop. Mediated,-0.0329,-0.05095,-0.01719
4,mesa_imputed,ACME,-0.00106,-0.00417,0.002
5,mesa_imputed,ADE,0.02864,-0.05544,0.10594
6,mesa_imputed,Total Effect,0.03083,-0.0522,0.10711
7,mesa_imputed,Prop. Mediated,-0.03439,-0.05953,-0.01628
8,mesa_cate,ACME,-0.00186,-0.00513,0.00087
9,mesa_cate,ADE,0.06422,-0.03169,0.16374
10,mesa_cate,Total Effect,0.06414,-0.03078,0.16387
11,mesa_cate,Prop. Mediated,-0.02903,-0.04199,-0.0162
12,mesa_pre,ACME,-0.00102,-0.00396,0.00183
13,mesa_pre,ADE,0.02702,-0.05077,0.10241
14,mesa_pre,Total Effect,0.02933,-0.04785,0.1059
15,mesa_pre,Prop. Mediated,-0.03481,-0.06093,-0.00297
