,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00104,-0.00087,0.00401
1,mesa_raw,ADE,-0.10877,-0.28383,0.05003
2,mesa_raw,Total Effect,-0.10875,-0.28506,0.04999
3,mesa_raw,Prop. Mediated,-0.00953,-0.02225,0.00342
4,mesa_imputed,ACME,0.00046,-0.00055,0.00237
5,mesa_imputed,ADE,-0.07783,-0.21062,0.05679
6,mesa_imputed,Total Effect,-0.0775,-0.20964,0.05755
7,mesa_imputed,Prop. Mediated,-0.00593,-0.01691,0.0044
8,mesa_pre,ACME,-0.00099,-0.00286,0.00011
9,mesa_pre,ADE,-0.11461,-0.22982,0.00236
10,mesa_pre,Total Effect,-0.11503,-0.23143,0.00224
11,mesa_pre,Prop. Mediated,0.00857,-0.00096,0.01751
