,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00053,-0.00194,0.0038
1,mesa_raw,ADE,-0.1058,-0.28014,0.05485
2,mesa_raw,Total Effect,-0.10217,-0.27465,0.05592
3,mesa_raw,Prop. Mediated,-0.00516,-0.02522,0.01669
4,mesa_imputed,ACME,-7e-05,-0.00205,0.00172
5,mesa_imputed,ADE,-0.07494,-0.21367,0.05552
6,mesa_imputed,Total Effect,-0.07119,-0.20936,0.05496
7,mesa_imputed,Prop. Mediated,0.001,-0.0154,0.02171
8,mesa_pre,ACME,0.00117,-0.00054,0.00384
9,mesa_pre,ADE,-0.11025,-0.21984,0.00469
10,mesa_pre,Total Effect,-0.10718,-0.21639,0.00589
11,mesa_pre,Prop. Mediated,-0.01094,-0.02555,0.00555
