,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00404,-0.01151,0.00189
1,mesa_raw,ADE,-0.10842,-0.27975,0.0543
2,mesa_raw,Total Effect,-0.11213,-0.28455,0.04934
3,mesa_raw,Prop. Mediated,0.036,0.01852,0.0532
4,mesa_imputed,ACME,-0.00219,-0.00648,0.00121
5,mesa_imputed,ADE,-0.07991,-0.22,0.05033
6,mesa_imputed,Total Effect,-0.08383,-0.22589,0.04638
7,mesa_imputed,Prop. Mediated,0.02613,0.01274,0.04008
8,mesa_pre,ACME,-0.0067,-0.01367,0.00011
9,mesa_pre,ADE,-0.11675,-0.23688,0.00218
10,mesa_pre,Total Effect,-0.13258,-0.25049,-0.01294
11,mesa_pre,Prop. Mediated,0.05053,0.01937,0.06227
