,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.01468,1e-05,0.02988
1,mesa_raw,ADE,0.18134,0.00014,0.35046
2,mesa_raw,Total Effect,0.18334,0.00445,0.35219
3,mesa_raw,Prop. Mediated,0.08005,0.05777,0.10153
4,mesa_imputed,ACME,0.00744,-0.00395,0.01876
5,mesa_imputed,ADE,0.09626,-0.05128,0.23314
6,mesa_imputed,Total Effect,0.09769,-0.04903,0.23597
7,mesa_imputed,Prop. Mediated,0.07615,0.05225,0.09503
8,mesa_pre,ACME,0.00275,-0.00135,0.00768
9,mesa_pre,ADE,0.07881,-0.03723,0.18584
10,mesa_pre,Total Effect,0.07584,-0.03993,0.1842
11,mesa_pre,Prop. Mediated,0.03632,0.01339,0.05903
