,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00703,0.00054,0.01368
1,mesa_raw,ADE,0.18766,0.01348,0.35505
2,mesa_raw,Total Effect,0.18757,0.01449,0.35316
3,mesa_raw,Prop. Mediated,0.03745,0.02603,0.04882
4,mesa_imputed,ACME,0.00229,-0.00155,0.00626
5,mesa_imputed,ADE,0.09192,-0.06094,0.2377
6,mesa_imputed,Total Effect,0.09179,-0.05971,0.23627
7,mesa_imputed,Prop. Mediated,0.02494,0.01522,0.03479
8,mesa_pre,ACME,0.00138,-0.00073,0.00393
9,mesa_pre,ADE,0.0783,-0.03827,0.20584
10,mesa_pre,Total Effect,0.07637,-0.04137,0.20196
11,mesa_pre,Prop. Mediated,0.01809,0.00686,0.03031
