,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00041,-0.002,0.00096
1,mesa_raw,ADE,0.03887,-0.07113,0.12628
2,mesa_raw,Total Effect,0.04068,-0.06804,0.12807
3,mesa_raw,Prop. Mediated,-0.00999,-0.02499,0.0054
4,mesa_imputed,ACME,-0.00067,-0.00274,0.00122
5,mesa_imputed,ADE,0.03001,-0.05909,0.10998
6,mesa_imputed,Total Effect,0.03297,-0.05299,0.11245
7,mesa_imputed,Prop. Mediated,-0.02024,-0.04879,-0.00594
8,mesa_pre,ACME,-0.00109,-0.00458,0.00214
9,mesa_pre,ADE,0.02584,-0.05351,0.10595
10,mesa_pre,Total Effect,0.03172,-0.0475,0.10908
11,mesa_pre,Prop. Mediated,-0.03448,-0.13764,0.0217
