,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.20895,-0.42706,-0.01251
1,mesa_raw,ADE,0.16268,0.00975,0.33139
2,mesa_raw,Total Effect,0.19046,0.03733,0.35024
3,mesa_raw,Prop. Mediated,-1.09711,-1.37512,-0.30213
4,mesa_imputed,ACME,-0.03123,-0.06775,0.00314
5,mesa_imputed,ADE,0.10399,-0.01011,0.22804
6,mesa_imputed,Total Effect,0.11155,-0.00371,0.23035
7,mesa_imputed,Prop. Mediated,-0.27996,-0.4076,-0.11216
8,mesa_pre,ACME,-0.01056,-0.03052,0.01071
9,mesa_pre,ADE,0.04572,-0.04655,0.1325
10,mesa_pre,Total Effect,0.05442,-0.03016,0.14366
11,mesa_pre,Prop. Mediated,-0.19412,-0.56015,0.19104
