,Data,Bootstrap Result Name,Mean,2.5%,97.5%
0,mesa_raw,bp_1_nSES_FamIncome,0.028469851650776697,-0.0032,0.06062
1,mesa_raw,bp_2_nFavFood_FamIncome,0.011721005924994183,-0.02152,0.04462
2,mesa_raw,bp_3_nPhysFac_FamIncome,-0.010980720590448162,-0.04343,0.02206
3,mesa_raw,bp_4_nRS_FamIncome,0.0004626389930808943,-0.02549,0.02877
4,mesa_raw,bp_5_nSES_nutrition,0.03265953372250688,-0.18674,0.26431
5,mesa_raw,bp_6_nFavFood_nutrition,0.015549272301730038,-0.21973,0.24839
6,mesa_raw,bp_7_nPhysFac_nutrition,-0.03779174844673635,-0.25627,0.17791
7,mesa_raw,bp_8_nRS_nutrition,-0.03915270844805447,-0.23065,0.14278
8,mesa_raw,bp_9_nSES_PhysAct,0.02383299947273147,-0.10877,0.15878
9,mesa_raw,bp_10_nFavFood_PhysAct,-0.012269150506556142,-0.15903,0.1419
10,mesa_raw,bp_11_nPhysFac_PhysAct,-0.0040024475700765234,-0.15654,0.16617
11,mesa_raw,bp_12_nRS_PhysAct,0.07682813688965927,-0.03345,0.20465
12,mesa_raw,bp_13_nSES_currentSmoker,-0.002399149134873585,-0.1751,0.17475
13,mesa_raw,bp_14_nFavFood_currentSmoker,-0.0932519684515245,-0.27028,0.07812
14,mesa_raw,bp_15_nPhysFac_currentSmoker,-0.10837623810541967,-0.30325,0.06076
15,mesa_raw,bp_16_nRS_currentSmoker,-0.005993034401170107,-0.13698,0.14781
16,mesa_raw,bp_17_nSES_alc,0.07887030264758084,-0.17106,0.32722
17,mesa_raw,bp_18_nFavFood_alc,-0.16467758976992236,-0.42238,0.09769
18,mesa_raw,bp_19_nPhysFac_alc,-0.21916305472842793,-0.46393,0.07743
19,mesa_raw,bp_20_nRS_alc,0.07094344468251797,-0.13861,0.2708
20,mesa_imputed,bp_1_nSES_FamIncome,0.08985386526155469,-0.00919,0.18469
21,mesa_imputed,bp_2_nFavFood_FamIncome,0.03859563501879416,-0.06092,0.13806
22,mesa_imputed,bp_3_nPhysFac_FamIncome,-0.023157072763041672,-0.12197,0.07543
23,mesa_imputed,bp_4_nRS_FamIncome,0.00517822291091203,-0.07773,0.08593
24,mesa_imputed,bp_5_nSES_nutrition,0.012609177924045785,-0.16409,0.19972
25,mesa_imputed,bp_6_nFavFood_nutrition,0.013545352871699466,-0.17259,0.19871
26,mesa_imputed,bp_7_nPhysFac_nutrition,-0.00022303598831557392,-0.20429,0.17601
27,mesa_imputed,bp_8_nRS_nutrition,0.01611589425444232,-0.14997,0.17348
28,mesa_imputed,bp_9_nSES_PhysAct,0.002565648599322168,-0.10731,0.10824
29,mesa_imputed,bp_10_nFavFood_PhysAct,-0.03280555093369331,-0.14183,0.0864
30,mesa_imputed,bp_11_nPhysFac_PhysAct,0.003159963817762214,-0.10762,0.12735
31,mesa_imputed,bp_12_nRS_PhysAct,0.0025702528533471406,-0.08941,0.0991
32,mesa_imputed,bp_13_nSES_currentSmoker,0.060515256690229,-0.08946,0.20832
33,mesa_imputed,bp_14_nFavFood_currentSmoker,-0.06833242782168276,-0.20351,0.05933
34,mesa_imputed,bp_15_nPhysFac_currentSmoker,-0.08034927390799841,-0.24511,0.06983
35,mesa_imputed,bp_16_nRS_currentSmoker,0.003885817022768542,-0.11712,0.13304
36,mesa_imputed,bp_17_nSES_alc,0.09466590729716669,-0.11293,0.30145
37,mesa_imputed,bp_18_nFavFood_alc,-0.14221170164743596,-0.33554,0.07522
38,mesa_imputed,bp_19_nPhysFac_alc,-0.2272299448071976,-0.43243,-0.00754
39,mesa_imputed,bp_20_nRS_alc,0.11876049483093064,-0.05168,0.29556
40,mesa_pre,bp_1_nSES_FamIncome,0.08184931016526599,0.0004,0.16553
41,mesa_pre,bp_2_nFavFood_FamIncome,0.05003874338850395,-0.02794,0.13162
42,mesa_pre,bp_3_nPhysFac_FamIncome,0.013842001416492018,-0.06727,0.09531
43,mesa_pre,bp_4_nRS_FamIncome,0.0043940425751107775,-0.07677,0.08454
44,mesa_pre,bp_5_nSES_nutrition,-0.015753957668391737,-0.17141,0.13903
45,mesa_pre,bp_6_nFavFood_nutrition,0.01705578353749379,-0.14868,0.16568
46,mesa_pre,bp_7_nPhysFac_nutrition,-0.0024088887040849293,-0.1667,0.15599
47,mesa_pre,bp_8_nRS_nutrition,0.0029329752448410636,-0.14665,0.15684
48,mesa_pre,bp_9_nSES_PhysAct,0.019263536178589592,-0.07557,0.11371
49,mesa_pre,bp_10_nFavFood_PhysAct,0.012147689742845283,-0.07031,0.09457
50,mesa_pre,bp_11_nPhysFac_PhysAct,-0.07151234881001248,-0.15364,0.01488
51,mesa_pre,bp_12_nRS_PhysAct,-0.01026120250731087,-0.10406,0.07182
52,mesa_pre,bp_13_nSES_currentSmoker,0.05476439747728265,-0.05683,0.18052
53,mesa_pre,bp_14_nFavFood_currentSmoker,0.009178382807896018,-0.10169,0.11287
54,mesa_pre,bp_15_nPhysFac_currentSmoker,-0.021445751863891846,-0.13288,0.08853
55,mesa_pre,bp_16_nRS_currentSmoker,0.0741195828522321,-0.04498,0.19032
56,mesa_pre,bp_17_nSES_alc,0.13168663545862852,-0.03086,0.29043
57,mesa_pre,bp_18_nFavFood_alc,-0.1242004192543341,-0.27725,0.03764
58,mesa_pre,bp_19_nPhysFac_alc,-0.14498023267785712,-0.2976,0.01094
59,mesa_pre,bp_20_nRS_alc,-0.0006759080991850894,-0.16277,0.16814
