,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.01423,-0.04297,0.00676
1,mesa_bla_raw,ADE,-0.22643,-0.59062,0.11243
2,mesa_bla_raw,Total Effect,-0.22684,-0.59222,0.11369
3,mesa_bla_raw,Prop. Mediated,0.06273,0.01468,0.11107
4,mesa_bla_imputed,ACME,-0.00987,-0.02497,0.00022
5,mesa_bla_imputed,ADE,-0.21344,-0.46465,-5e-05
6,mesa_bla_imputed,Total Effect,-0.2188,-0.47069,-0.00325
7,mesa_bla_imputed,Prop. Mediated,0.04509,0.01372,0.07846
8,mesa_bla_pre,ACME,-0.00051,-0.00686,0.00456
9,mesa_bla_pre,ADE,-0.02998,-0.25724,0.19491
10,mesa_bla_pre,Total Effect,-0.0224,-0.25087,0.20278
11,mesa_bla_pre,Prop. Mediated,0.02265,-0.02351,0.06098
