,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.00522,-0.00872,0.02621
1,mesa_bla_raw,ADE,0.36003,-0.04644,0.81131
2,mesa_bla_raw,Total Effect,0.36451,-0.05237,0.81656
3,mesa_bla_raw,Prop. Mediated,0.01431,-0.02062,0.05465
4,mesa_bla_imputed,ACME,0.00136,-0.00562,0.01078
5,mesa_bla_imputed,ADE,0.24204,-0.01673,0.53113
6,mesa_bla_imputed,Total Effect,0.24435,-0.01286,0.5391
7,mesa_bla_imputed,Prop. Mediated,0.00558,-0.02163,0.03238
8,mesa_bla_pre,ACME,0.00011,-0.00191,0.00247
9,mesa_bla_pre,ADE,0.02216,-0.14999,0.20507
10,mesa_bla_pre,Total Effect,0.02117,-0.14789,0.19725
11,mesa_bla_pre,Prop. Mediated,0.0054,-0.01668,0.02754
