,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.00447,-0.00681,0.02049
1,mesa_bla_raw,ADE,-0.24324,-0.62132,0.11736
2,mesa_bla_raw,Total Effect,-0.23342,-0.61088,0.11953
3,mesa_bla_raw,Prop. Mediated,-0.01915,-0.05669,0.02616
4,mesa_bla_imputed,ACME,0.00372,-0.00278,0.0156
5,mesa_bla_imputed,ADE,-0.21079,-0.47322,0.01405
6,mesa_bla_imputed,Total Effect,-0.20682,-0.46313,0.01353
7,mesa_bla_imputed,Prop. Mediated,-0.01797,-0.04843,0.01442
8,mesa_bla_pre,ACME,-0.00064,-0.00763,0.00621
9,mesa_bla_pre,ADE,-0.02647,-0.24522,0.18982
10,mesa_bla_pre,Total Effect,-0.01824,-0.23397,0.19864
11,mesa_bla_pre,Prop. Mediated,0.03488,-0.01602,0.07516
