,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.01947,-0.06547,0.01718
1,mesa_bla_raw,ADE,0.57439,-0.03696,1.08576
2,mesa_bla_raw,Total Effect,0.5567,-0.03702,1.06041
3,mesa_bla_raw,Prop. Mediated,-0.03498,-0.09609,0.0314
4,mesa_bla_imputed,ACME,-0.00526,-0.02842,0.01003
5,mesa_bla_imputed,ADE,0.34733,0.0262,0.69183
6,mesa_bla_imputed,Total Effect,0.34172,0.03043,0.67346
7,mesa_bla_imputed,Prop. Mediated,-0.0154,-0.05773,0.0272
8,mesa_bla_pre,ACME,-0.00029,-0.00528,0.00328
9,mesa_bla_pre,ADE,-0.03518,-0.25452,0.19408
10,mesa_bla_pre,Total Effect,-0.03688,-0.25518,0.19153
11,mesa_bla_pre,Prop. Mediated,0.00798,-0.02334,0.04354
