,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.00087,-0.00281,0.00471
1,mesa_bla_raw,ADE,0.05247,-0.1261,0.21636
2,mesa_bla_raw,Total Effect,0.04319,-0.1337,0.20634
3,mesa_bla_raw,Prop. Mediated,0.02018,-0.01219,0.06351
4,mesa_bla_imputed,ACME,7e-05,-0.0029,0.00271
5,mesa_bla_imputed,ADE,0.00411,-0.14233,0.13144
6,mesa_bla_imputed,Total Effect,-0.0012,-0.14877,0.12333
7,mesa_bla_imputed,Prop. Mediated,-0.05542,-0.00909,0.05414
8,mesa_bla_pre,ACME,3e-05,-0.00285,0.00288
9,mesa_bla_pre,ADE,0.02735,-0.19277,0.23368
10,mesa_bla_pre,Total Effect,0.02566,-0.19402,0.23328
11,mesa_bla_pre,Prop. Mediated,0.00114,-0.02336,0.03055
