,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.32693,-0.7535,0.02362
1,mesa_bla_raw,ADE,0.36655,-0.02681,0.81079
2,mesa_bla_raw,Total Effect,0.39678,0.01911,0.82709
3,mesa_bla_raw,Prop. Mediated,-0.82395,-1.20807,-0.37892
4,mesa_bla_imputed,ACME,-0.04181,-0.09618,0.00593
5,mesa_bla_imputed,ADE,0.24497,-0.03427,0.53074
6,mesa_bla_imputed,Total Effect,0.25851,-0.02248,0.53495
7,mesa_bla_imputed,Prop. Mediated,-0.16174,-0.23162,-0.08144
8,mesa_bla_pre,ACME,-0.00207,-0.02385,0.01911
9,mesa_bla_pre,ADE,0.01759,-0.16104,0.19072
10,mesa_bla_pre,Total Effect,0.03068,-0.15011,0.19603
11,mesa_bla_pre,Prop. Mediated,-0.06744,-0.34159,0.17664
