,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.004,-0.00512,0.01897
1,mesa_bla_raw,ADE,-0.22601,-0.60941,0.1192
2,mesa_bla_raw,Total Effect,-0.21619,-0.59727,0.12094
3,mesa_bla_raw,Prop. Mediated,-0.01848,-0.06086,0.02294
4,mesa_bla_imputed,ACME,0.00356,-0.00322,0.01363
5,mesa_bla_imputed,ADE,-0.21915,-0.47719,-0.00452
6,mesa_bla_imputed,Total Effect,-0.21438,-0.46983,-0.0054
7,mesa_bla_imputed,Prop. Mediated,-0.01659,-0.04587,0.01456
8,mesa_bla_cate,ACME,-0.00245,-0.01519,0.00635
9,mesa_bla_cate,ADE,-0.11252,-0.42668,0.20256
10,mesa_bla_cate,Total Effect,-0.11059,-0.42152,0.2059
11,mesa_bla_cate,Prop. Mediated,0.02218,-0.01567,0.06976
12,mesa_bla_pre,ACME,-0.00057,-0.0077,0.00659
13,mesa_bla_pre,ADE,-0.02326,-0.24602,0.20357
14,mesa_bla_pre,Total Effect,-0.01525,-0.23611,0.20989
15,mesa_bla_pre,Prop. Mediated,0.03716,-0.01336,0.0919
