,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.00932,-0.02856,0.00334
1,mesa_bla_raw,ADE,-0.23746,-0.58004,0.08388
2,mesa_bla_raw,Total Effect,-0.2507,-0.59268,0.071
3,mesa_bla_raw,Prop. Mediated,0.03716,0.0053,0.06737
4,mesa_bla_imputed,ACME,-0.00693,-0.01916,-3e-05
5,mesa_bla_imputed,ADE,-0.21774,-0.46785,-0.00053
6,mesa_bla_imputed,Total Effect,-0.22797,-0.47774,-0.0202
7,mesa_bla_imputed,Prop. Mediated,0.03041,0.01043,0.05062
8,mesa_bla_cate,ACME,-0.00259,-0.01369,0.00688
9,mesa_bla_cate,ADE,-0.09581,-0.40717,0.22936
10,mesa_bla_cate,Total Effect,-0.1032,-0.41036,0.21719
11,mesa_bla_cate,Prop. Mediated,0.02508,-0.00308,0.05691
12,mesa_bla_pre,ACME,-0.00079,-0.00891,0.00705
13,mesa_bla_pre,ADE,-0.02362,-0.25038,0.2062
14,mesa_bla_pre,Total Effect,-0.03835,-0.26418,0.1975
15,mesa_bla_pre,Prop. Mediated,0.02072,-0.03039,0.10189
