,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.02335,-0.00333,0.0568
1,mesa_bla_raw,ADE,0.58912,-0.01339,1.11464
2,mesa_bla_raw,Total Effect,0.58615,-0.00788,1.09313
3,mesa_bla_raw,Prop. Mediated,0.03983,0.00056,0.07593
4,mesa_bla_imputed,ACME,0.0114,0.00029,0.02976
5,mesa_bla_imputed,ADE,0.34855,0.02716,0.69652
6,mesa_bla_imputed,Total Effect,0.34877,0.03177,0.69349
7,mesa_bla_imputed,Prop. Mediated,0.03269,0.00692,0.05706
8,mesa_bla_cate,ACME,0.00059,-0.00827,0.00891
9,mesa_bla_cate,ADE,0.02368,-0.29625,0.33519
10,mesa_bla_cate,Total Effect,0.0239,-0.29723,0.33541
11,mesa_bla_cate,Prop. Mediated,0.02481,-0.00206,0.05334
12,mesa_bla_pre,ACME,-0.00087,-0.00732,0.00517
13,mesa_bla_pre,ADE,-0.03401,-0.23656,0.17225
14,mesa_bla_pre,Total Effect,-0.03354,-0.2394,0.17509
15,mesa_bla_pre,Prop. Mediated,0.02579,0.00309,0.05285
