,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.02125,-0.07033,0.01588
1,mesa_bla_raw,ADE,0.58896,-0.03684,1.10791
2,mesa_bla_raw,Total Effect,0.56939,-0.02028,1.08196
3,mesa_bla_raw,Prop. Mediated,-0.03731,-0.098,0.02978
4,mesa_bla_imputed,ACME,-0.00569,-0.03047,0.00944
5,mesa_bla_imputed,ADE,0.35952,0.01855,0.72111
6,mesa_bla_imputed,Total Effect,0.35378,0.01469,0.70794
7,mesa_bla_imputed,Prop. Mediated,-0.01609,-0.06319,0.0298
8,mesa_bla_cate,ACME,0.00021,-0.00578,0.00788
9,mesa_bla_cate,ADE,0.04405,-0.25564,0.35281
10,mesa_bla_cate,Total Effect,0.04983,-0.24686,0.35509
11,mesa_bla_cate,Prop. Mediated,0.0043,-0.0359,0.04706
12,mesa_bla_pre,ACME,-0.00034,-0.00436,0.00374
13,mesa_bla_pre,ADE,-0.04351,-0.26484,0.17869
14,mesa_bla_pre,Total Effect,-0.04524,-0.26892,0.17544
15,mesa_bla_pre,Prop. Mediated,0.00746,-0.02256,0.03869
