,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.0002,-0.00411,0.00459
1,mesa_bla_raw,ADE,0.05001,-0.13375,0.21738
2,mesa_bla_raw,Total Effect,0.0496,-0.13054,0.21619
3,mesa_bla_raw,Prop. Mediated,0.0041,-0.0362,0.04174
4,mesa_bla_imputed,ACME,5e-05,-0.00283,0.00202
5,mesa_bla_imputed,ADE,0.00825,-0.13324,0.13567
6,mesa_bla_imputed,Total Effect,0.00641,-0.13475,0.1336
7,mesa_bla_imputed,Prop. Mediated,0.00798,-0.02802,0.0396
8,mesa_bla_cate,ACME,0.00056,-0.00623,0.00942
9,mesa_bla_cate,ADE,0.14525,-0.05411,0.36368
10,mesa_bla_cate,Total Effect,0.14484,-0.05292,0.3623
11,mesa_bla_cate,Prop. Mediated,0.00388,-0.03637,0.04222
12,mesa_bla_pre,ACME,-9e-05,-0.006,0.0046
13,mesa_bla_pre,ADE,0.03029,-0.18131,0.25162
14,mesa_bla_pre,Total Effect,0.02479,-0.1846,0.2454
15,mesa_bla_pre,Prop. Mediated,-0.00364,-0.05019,0.04574
