,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.00025,-0.00217,0.00282
1,mesa_bla_raw,ADE,0.05251,-0.13022,0.21514
2,mesa_bla_raw,Total Effect,0.05173,-0.13199,0.2178
3,mesa_bla_raw,Prop. Mediated,0.0049,-0.01837,0.03188
4,mesa_bla_imputed,ACME,2e-05,-0.00121,0.00144
5,mesa_bla_imputed,ADE,0.00705,-0.12861,0.13118
6,mesa_bla_imputed,Total Effect,0.00714,-0.12868,0.13166
7,mesa_bla_imputed,Prop. Mediated,0.00302,-0.01267,0.02104
8,mesa_bla_cate,ACME,0.00027,-0.00398,0.00514
9,mesa_bla_cate,ADE,0.14267,-0.07716,0.34294
10,mesa_bla_cate,Total Effect,0.14248,-0.07722,0.34024
11,mesa_bla_cate,Prop. Mediated,0.00188,-0.02354,0.02507
12,mesa_bla_pre,ACME,-0.00062,-0.0061,0.00405
13,mesa_bla_pre,ADE,0.03306,-0.1681,0.24104
14,mesa_bla_pre,Total Effect,0.03306,-0.16815,0.23757
15,mesa_bla_pre,Prop. Mediated,-0.01871,-0.04639,0.00771
