,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.00083,-0.00241,0.00464
1,mesa_bla_raw,ADE,0.05212,-0.12378,0.20967
2,mesa_bla_raw,Total Effect,0.04313,-0.13221,0.19992
3,mesa_bla_raw,Prop. Mediated,0.01934,-0.00857,0.05811
4,mesa_bla_imputed,ACME,9e-05,-0.00274,0.00288
5,mesa_bla_imputed,ADE,0.00586,-0.1404,0.14503
6,mesa_bla_imputed,Total Effect,0.00052,-0.1438,0.1424
7,mesa_bla_imputed,Prop. Mediated,0.18228,-0.01226,0.05299
8,mesa_bla_cate,ACME,0.00307,-0.00142,0.00989
9,mesa_bla_cate,ADE,0.14333,-0.06814,0.33759
10,mesa_bla_cate,Total Effect,0.12934,-0.07563,0.31847
11,mesa_bla_cate,Prop. Mediated,0.0237,-0.00861,0.05975
12,mesa_bla_pre,ACME,3e-05,-0.00258,0.003
13,mesa_bla_pre,ADE,0.03046,-0.16684,0.22853
14,mesa_bla_pre,Total Effect,0.02907,-0.16751,0.22796
15,mesa_bla_pre,Prop. Mediated,0.00116,-0.02323,0.03123
