,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.03096,-0.08849,0.0052
1,mesa_bla_raw,ADE,0.36012,-0.0829,0.78135
2,mesa_bla_raw,Total Effect,0.35947,-0.07886,0.78162
3,mesa_bla_raw,Prop. Mediated,-0.08613,-0.15087,-0.02105
4,mesa_bla_imputed,ACME,-0.01678,-0.04556,0.00164
5,mesa_bla_imputed,ADE,0.23913,-0.02736,0.52159
6,mesa_bla_imputed,Total Effect,0.24305,-0.02527,0.52516
7,mesa_bla_imputed,Prop. Mediated,-0.06902,-0.117,-0.02149
8,mesa_bla_cate,ACME,-0.00346,-0.0183,0.00575
9,mesa_bla_cate,ADE,0.08659,-0.13931,0.31239
10,mesa_bla_cate,Total Effect,0.08635,-0.13915,0.30869
11,mesa_bla_cate,Prop. Mediated,-0.04006,-0.08521,0.00554
12,mesa_bla_pre,ACME,-0.00097,-0.0103,0.00764
13,mesa_bla_pre,ADE,0.02305,-0.1548,0.19509
14,mesa_bla_pre,Total Effect,0.0254,-0.15042,0.19747
15,mesa_bla_pre,Prop. Mediated,-0.03802,-0.08703,-0.00024
