,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,-0.02825,-0.06815,0.00376
1,mesa_bla_raw,ADE,0.37626,-0.055,0.82374
2,mesa_bla_raw,Total Effect,0.37687,-0.05544,0.82802
3,mesa_bla_raw,Prop. Mediated,-0.07497,-0.11994,-0.03703
4,mesa_bla_imputed,ACME,-0.01375,-0.03205,0.00139
5,mesa_bla_imputed,ADE,0.24467,-0.02745,0.52202
6,mesa_bla_imputed,Total Effect,0.24345,-0.02543,0.51771
7,mesa_bla_imputed,Prop. Mediated,-0.05649,-0.0889,-0.02453
8,mesa_bla_cate,ACME,-0.00416,-0.01603,0.00753
9,mesa_bla_cate,ADE,0.08251,-0.13316,0.30165
10,mesa_bla_cate,Total Effect,0.08198,-0.13521,0.29871
11,mesa_bla_cate,Prop. Mediated,-0.05072,-0.09614,-0.0122
12,mesa_bla_pre,ACME,-0.00089,-0.00798,0.00546
13,mesa_bla_pre,ADE,0.02423,-0.14895,0.20332
14,mesa_bla_pre,Total Effect,0.02311,-0.14912,0.20253
15,mesa_bla_pre,Prop. Mediated,-0.03842,-0.07523,-0.01095
