,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_raw,ACME,0.01763,-0.00428,0.05745
1,mesa_bla_raw,ADE,0.34813,-0.03759,0.74807
2,mesa_bla_raw,Total Effect,0.34384,-0.04374,0.74076
3,mesa_bla_raw,Prop. Mediated,0.05126,-0.00754,0.1057
4,mesa_bla_imputed,ACME,0.00539,-0.00598,0.02087
5,mesa_bla_imputed,ADE,0.24038,-0.02805,0.49645
6,mesa_bla_imputed,Total Effect,0.2393,-0.02875,0.49951
7,mesa_bla_imputed,Prop. Mediated,0.02253,-0.02114,0.06673
8,mesa_bla_cate,ACME,0.00407,-0.00689,0.01644
9,mesa_bla_cate,ADE,0.08119,-0.12986,0.2838
10,mesa_bla_cate,Total Effect,0.08598,-0.12386,0.28918
11,mesa_bla_cate,Prop. Mediated,0.04733,0.00027,0.11026
12,mesa_bla_pre,ACME,0.00016,-0.003,0.00426
13,mesa_bla_pre,ADE,0.01986,-0.14881,0.19532
14,mesa_bla_pre,Total Effect,0.01769,-0.15001,0.19584
15,mesa_bla_pre,Prop. Mediated,0.00922,-0.02436,0.04584
