,Data,Bootstrap Result Name,Mean,2.5%,97.5%
0,mesa_bla_raw,bp_1_nSES_FamIncome,-0.00822922942241616,-0.09996,0.08031
1,mesa_bla_raw,bp_2_nFavFood_FamIncome,0.020768898232792158,-0.0469,0.09
2,mesa_bla_raw,bp_3_nPhysFac_FamIncome,0.03513676621835637,-0.08037,0.14108
3,mesa_bla_raw,bp_4_nRS_FamIncome,-0.003960938683411935,-0.0543,0.04902
4,mesa_bla_raw,bp_5_nSES_nutrition,0.07938552408418147,-0.5893,0.80749
5,mesa_bla_raw,bp_6_nFavFood_nutrition,-0.27862646927844953,-0.8617,0.20294
6,mesa_bla_raw,bp_7_nPhysFac_nutrition,0.0668488737873135,-0.85491,0.718
7,mesa_bla_raw,bp_8_nRS_nutrition,-0.03433254855457785,-0.31268,0.2451
8,mesa_bla_raw,bp_9_nSES_PhysAct,0.2660453491995753,-0.14595,0.66626
9,mesa_bla_raw,bp_10_nFavFood_PhysAct,0.08287925534266552,-0.21432,0.44171
10,mesa_bla_raw,bp_11_nPhysFac_PhysAct,0.014477844967199442,-0.42371,0.61838
11,mesa_bla_raw,bp_12_nRS_PhysAct,-0.0014962329366161962,-0.19137,0.22963
12,mesa_bla_raw,bp_13_nSES_currentSmoker,-0.06800548158690589,-0.50589,0.37672
13,mesa_bla_raw,bp_14_nFavFood_currentSmoker,-0.0804479492431904,-0.41176,0.25976
14,mesa_bla_raw,bp_15_nPhysFac_currentSmoker,-0.2857528027406811,-0.89482,0.2688
15,mesa_bla_raw,bp_16_nRS_currentSmoker,-0.062346445645206985,-0.26032,0.12534
16,mesa_bla_raw,bp_17_nSES_alc,-0.0014794777337628665,-0.65916,0.64462
17,mesa_bla_raw,bp_18_nFavFood_alc,-0.32039362245492486,-0.79832,0.16153
18,mesa_bla_raw,bp_19_nPhysFac_alc,-0.33160606960779265,-1.10099,0.45956
19,mesa_bla_raw,bp_20_nRS_alc,-0.055786606573868684,-0.37066,0.26363
20,mesa_bla_imputed,bp_1_nSES_FamIncome,-0.007415083335763096,-0.23453,0.23962
21,mesa_bla_imputed,bp_2_nFavFood_FamIncome,0.09821795188790977,-0.09645,0.31713
22,mesa_bla_imputed,bp_3_nPhysFac_FamIncome,0.08190545890480874,-0.18032,0.36342
23,mesa_bla_imputed,bp_4_nRS_FamIncome,0.05967724616424442,-0.08895,0.21819
24,mesa_bla_imputed,bp_5_nSES_nutrition,0.17818356575027172,-0.32313,0.76462
25,mesa_bla_imputed,bp_6_nFavFood_nutrition,-0.23074735394224716,-0.61783,0.12363
26,mesa_bla_imputed,bp_7_nPhysFac_nutrition,-0.0036851351377954035,-0.70869,0.46153
27,mesa_bla_imputed,bp_8_nRS_nutrition,0.03717253206470228,-0.23996,0.31325
28,mesa_bla_imputed,bp_9_nSES_PhysAct,0.14308578741117023,-0.1204,0.40603
