,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.03042,-0.01614,0.08365
1,mesa_raw,ADE,-0.10323,-0.25993,0.05413
2,mesa_raw,Total Effect,-0.09381,-0.24741,0.06355
3,mesa_raw,Prop. Mediated,-0.32425,-0.62303,0.04499
4,mesa_imputed,ACME,0.00434,-0.00291,0.01313
5,mesa_imputed,ADE,-0.07664,-0.21062,0.05277
6,mesa_imputed,Total Effect,-0.0741,-0.20747,0.05436
7,mesa_imputed,Prop. Mediated,-0.0586,-0.09563,-0.02481
8,mesa_cate,ACME,0.04864,0.00348,0.09709
9,mesa_cate,ADE,-0.15966,-0.31183,-0.01137
10,mesa_cate,Total Effect,-0.15235,-0.30127,-0.00284
11,mesa_cate,Prop. Mediated,-0.3193,-0.44476,-0.21989
12,mesa_pre,ACME,0.01086,-0.00065,0.0224
13,mesa_pre,ADE,-0.1113,-0.22963,0.00667
14,mesa_pre,Total Effect,-0.10934,-0.22709,0.01096
15,mesa_pre,Prop. Mediated,-0.09935,-0.1263,-0.07544
