,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00046,-0.00204,0.00386
1,mesa_raw,ADE,-0.10631,-0.26974,0.06195
2,mesa_raw,Total Effect,-0.10248,-0.26287,0.06356
3,mesa_raw,Prop. Mediated,-0.0045,-0.02595,0.01672
4,mesa_imputed,ACME,-7e-05,-0.00215,0.00173
5,mesa_imputed,ADE,-0.08126,-0.21559,0.04401
6,mesa_imputed,Total Effect,-0.07732,-0.21137,0.04604
7,mesa_imputed,Prop. Mediated,0.00094,-0.01572,0.02049
8,mesa_cate,ACME,-1e-05,-0.00355,0.0037
9,mesa_cate,ADE,-0.16405,-0.31647,0.00172
10,mesa_cate,Total Effect,-0.16048,-0.31251,0.0015
11,mesa_cate,Prop. Mediated,6e-05,-0.01774,0.01815
12,mesa_pre,ACME,0.00123,-0.0005,0.00403
13,mesa_pre,ADE,-0.11483,-0.22806,0.00213
14,mesa_pre,Total Effect,-0.11171,-0.22473,0.0064
15,mesa_pre,Prop. Mediated,-0.01098,-0.02546,0.00344
