,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00712,0.00032,0.01369
1,mesa_raw,ADE,0.18959,0.00899,0.35187
2,mesa_raw,Total Effect,0.18951,0.00892,0.35208
3,mesa_raw,Prop. Mediated,0.03759,0.02596,0.04928
4,mesa_imputed,ACME,0.00234,-0.00171,0.00622
5,mesa_imputed,ADE,0.09232,-0.06174,0.23653
6,mesa_imputed,Total Effect,0.0921,-0.06279,0.23647
7,mesa_imputed,Prop. Mediated,0.02538,0.01612,0.03411
8,mesa_cate,ACME,0.00249,-0.00057,0.00607
9,mesa_cate,ADE,0.12057,-0.02569,0.25878
10,mesa_cate,Total Effect,0.12058,-0.02454,0.25885
11,mesa_cate,Prop. Mediated,0.02063,0.0085,0.03242
12,mesa_pre,ACME,0.00141,-0.00069,0.0041
13,mesa_pre,ADE,0.08008,-0.0448,0.20327
14,mesa_pre,Total Effect,0.07802,-0.04628,0.20003
15,mesa_pre,Prop. Mediated,0.01807,0.00647,0.03034
