,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00935,0.00031,0.01979
1,mesa_raw,ADE,0.18387,0.00783,0.3607
2,mesa_raw,Total Effect,0.17631,-0.00445,0.3524
3,mesa_raw,Prop. Mediated,0.05305,0.03492,0.07574
4,mesa_imputed,ACME,0.00365,-0.00249,0.0096
5,mesa_imputed,ADE,0.09105,-0.06428,0.23225
6,mesa_imputed,Total Effect,0.08749,-0.06637,0.22661
7,mesa_imputed,Prop. Mediated,0.04169,0.02413,0.06727
8,mesa_cate,ACME,0.00473,-0.00143,0.01129
9,mesa_cate,ADE,0.12121,-0.0381,0.27104
10,mesa_cate,Total Effect,0.12522,-0.03303,0.27288
11,mesa_cate,Prop. Mediated,0.03775,0.02229,0.05338
12,mesa_pre,ACME,0.00292,-0.00132,0.00763
13,mesa_pre,ADE,0.07688,-0.03299,0.19164
14,mesa_pre,Total Effect,0.08288,-0.02825,0.1983
15,mesa_pre,Prop. Mediated,0.03528,0.01054,0.05913
