,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.00071,-0.00355,0.00138
1,mesa_raw,ADE,0.04209,-0.07062,0.13975
2,mesa_raw,Total Effect,0.04104,-0.06867,0.13796
3,mesa_raw,Prop. Mediated,-0.01719,-0.04171,0.00652
4,mesa_imputed,ACME,-0.00034,-0.00227,0.00101
5,mesa_imputed,ADE,0.02657,-0.0594,0.1062
6,mesa_imputed,Total Effect,0.02583,-0.06153,0.10636
7,mesa_imputed,Prop. Mediated,-0.01306,-0.03302,0.00811
8,mesa_cate,ACME,-0.0011,-0.00395,0.00088
9,mesa_cate,ADE,0.06083,-0.03677,0.16989
10,mesa_cate,Total Effect,0.05904,-0.03852,0.16963
11,mesa_cate,Prop. Mediated,-0.01857,-0.03959,0.0034
12,mesa_pre,ACME,-0.00052,-0.00246,0.00113
13,mesa_pre,ADE,0.02773,-0.04932,0.11181
14,mesa_pre,Total Effect,0.02722,-0.05019,0.11048
15,mesa_pre,Prop. Mediated,-0.01925,-0.03852,-0.00071
