,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,0.00249,-0.00338,0.00853
1,mesa_raw,ADE,0.04315,-0.05543,0.13943
2,mesa_raw,Total Effect,0.05199,-0.04537,0.14676
3,mesa_raw,Prop. Mediated,0.0479,-0.09714,0.15705
4,mesa_imputed,ACME,0.00172,-0.00382,0.00657
5,mesa_imputed,ADE,0.02961,-0.06456,0.11048
6,mesa_imputed,Total Effect,0.0418,-0.04788,0.12023
7,mesa_imputed,Prop. Mediated,0.04109,-0.07733,0.19293
8,mesa_cate,ACME,0.00388,-0.00228,0.0101
9,mesa_cate,ADE,0.06231,-0.0376,0.15878
10,mesa_cate,Total Effect,0.07304,-0.02824,0.16808
11,mesa_cate,Prop. Mediated,0.05315,-0.04615,0.10969
12,mesa_pre,ACME,0.00167,-0.00283,0.00668
13,mesa_pre,ADE,0.02753,-0.04195,0.10555
14,mesa_pre,Total Effect,0.04185,-0.02938,0.12053
15,mesa_pre,Prop. Mediated,0.0399,-0.12788,0.20014
