,Data,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_raw,ACME,-0.01289,-0.02629,-0.00078
1,mesa_raw,ADE,0.16019,0.00989,0.31726
2,mesa_raw,Total Effect,0.16006,0.01054,0.31702
3,mesa_raw,Prop. Mediated,-0.08055,-0.0971,-0.06643
4,mesa_imputed,ACME,-0.0057,-0.01232,0.00081
5,mesa_imputed,ADE,0.10403,-0.01316,0.22039
6,mesa_imputed,Total Effect,0.10769,-0.01007,0.22426
7,mesa_imputed,Prop. Mediated,-0.05296,-0.06548,-0.03818
8,mesa_cate,ACME,-0.00395,-0.01202,0.00384
9,mesa_cate,ADE,0.05661,-0.05641,0.16805
10,mesa_cate,Total Effect,0.05638,-0.05709,0.16587
11,mesa_cate,Prop. Mediated,-0.07003,-0.10502,-0.04876
12,mesa_pre,ACME,-0.00207,-0.00621,0.00212
13,mesa_pre,ADE,0.04562,-0.04565,0.13129
14,mesa_pre,Total Effect,0.04782,-0.04307,0.13414
15,mesa_pre,Prop. Mediated,-0.04322,-0.06574,-0.02243
