,Data,Bootstrap Result Name,Mean,2.5%,97.5%
0,mesa_raw,bp_1_nSES_FamIncome,0.028805096952825834,-0.00235,0.06089
1,mesa_raw,bp_2_nFavFood_FamIncome,0.011891250417434959,-0.0202,0.0437
2,mesa_raw,bp_3_nPhysFac_FamIncome,-0.010866605784672757,-0.04232,0.01995
3,mesa_raw,bp_4_nRS_FamIncome,0.001185532891790731,-0.02483,0.02958
4,mesa_raw,bp_5_nSES_nutrition,0.03169591944700457,-0.18925,0.26432
5,mesa_raw,bp_6_nFavFood_nutrition,0.017607104867411506,-0.24474,0.25005
6,mesa_raw,bp_7_nPhysFac_nutrition,-0.040219132259100294,-0.2759,0.17989
7,mesa_raw,bp_8_nRS_nutrition,-0.03848976380290148,-0.23362,0.14027
8,mesa_raw,bp_9_nSES_PhysAct,0.024858988257992178,-0.1084,0.16003
9,mesa_raw,bp_10_nFavFood_PhysAct,-0.01755870024545009,-0.17217,0.14226
10,mesa_raw,bp_11_nPhysFac_PhysAct,-0.005775363090950018,-0.15235,0.15951
11,mesa_raw,bp_12_nRS_PhysAct,0.07611827234491722,-0.04503,0.20362
12,mesa_raw,bp_13_nSES_currentSmoker,0.00011576202753248488,-0.17514,0.1864
13,mesa_raw,bp_14_nFavFood_currentSmoker,-0.09799507593117586,-0.27848,0.07245
14,mesa_raw,bp_15_nPhysFac_currentSmoker,-0.11102837818749808,-0.3202,0.07067
15,mesa_raw,bp_16_nRS_currentSmoker,-0.010259088625059943,-0.14036,0.13328
16,mesa_raw,bp_17_nSES_alc,0.07860803435821019,-0.20136,0.3379
17,mesa_raw,bp_18_nFavFood_alc,-0.15992107392944951,-0.40737,0.08737
18,mesa_raw,bp_19_nPhysFac_alc,-0.2119945549531979,-0.45154,0.07369
19,mesa_raw,bp_20_nRS_alc,0.06939657726796472,-0.12005,0.27989
20,mesa_imputed,bp_1_nSES_FamIncome,0.09078690000121019,-0.00667,0.18281
21,mesa_imputed,bp_2_nFavFood_FamIncome,0.03885884098744686,-0.05801,0.13647
22,mesa_imputed,bp_3_nPhysFac_FamIncome,-0.0231708936510497,-0.11834,0.07805
23,mesa_imputed,bp_4_nRS_FamIncome,0.007716121027768854,-0.07807,0.09926
24,mesa_imputed,bp_5_nSES_nutrition,0.01368864287610355,-0.16992,0.20694
25,mesa_imputed,bp_6_nFavFood_nutrition,0.009718791428880184,-0.18562,0.19847
26,mesa_imputed,bp_7_nPhysFac_nutrition,-0.005040150533612964,-0.21015,0.18945
27,mesa_imputed,bp_8_nRS_nutrition,0.025450877906099414,-0.14519,0.19428
28,mesa_imputed,bp_9_nSES_PhysAct,0.0036876638415198624,-0.10443,0.11297
29,mesa_imputed,bp_10_nFavFood_PhysAct,-0.033205056930200025,-0.14109,0.08495
30,mesa_imputed,bp_11_nPhysFac_PhysAct,-0.0006994837352875892,-0.11975,0.12958
31,mesa_imputed,bp_12_nRS_PhysAct,0.002474618900313655,-0.09156,0.10425
32,mesa_imputed,bp_13_nSES_currentSmoker,0.05977503718294511,-0.08018,0.18554
33,mesa_imputed,bp_14_nFavFood_currentSmoker,-0.07251911348518349,-0.19451,0.05352
34,mesa_imputed,bp_15_nPhysFac_currentSmoker,-0.08435566372167008,-0.23504,0.05953
35,mesa_imputed,bp_16_nRS_currentSmoker,0.0042491742015432245,-0.11762,0.13512
36,mesa_imputed,bp_17_nSES_alc,0.09295606034421101,-0.10977,0.28757
37,mesa_imputed,bp_18_nFavFood_alc,-0.142659712273111,-0.34083,0.07054
38,mesa_imputed,bp_19_nPhysFac_alc,-0.2246165270109367,-0.41843,0.005
39,mesa_imputed,bp_20_nRS_alc,0.11773215508071885,-0.05534,0.2937
40,mesa_cate,bp_1_nSES_FamIncome,0.01967783335837534,-0.00883,0.0469
41,mesa_cate,bp_2_nFavFood_FamIncome,0.019220589250585732,-0.00633,0.04446
42,mesa_cate,bp_3_nPhysFac_FamIncome,0.006924806057061691,-0.01812,0.0321
43,mesa_cate,bp_4_nRS_FamIncome,-0.0018096768633491587,-0.02983,0.02431
44,mesa_cate,bp_5_nSES_nutrition,0.004175129261831454,-0.18984,0.1963
45,mesa_cate,bp_6_nFavFood_nutrition,0.01322666180575056,-0.19131,0.20706
