"Data","Y","X","moderator","X_coef","X_pvalue","interaction_coef","interaction_pvalue"
"mesa","cvd_10y_HF","nSES",NA,0.14217,0.0268,NA,NA
"mesa","cvd_10y_HF","nFavFood",NA,-0.03973,0.46816,NA,NA
"mesa","cvd_10y_HF","nFavFood","currentSmoker",-0.24864,0.05634,0.12967,0.0659
"mesa","cvd_10y_HF","nPhysFac",NA,0.06731,0.35542,NA,NA
"mesa","cvd_10y_HF","nRS",NA,0.03599,0.45276,NA,NA
"mesa","cvd_10y_noHF","nSES",NA,0.23402,0.00113,NA,NA
"mesa","cvd_10y_noHF","nFavFood",NA,-0.02614,0.65043,NA,NA
"mesa","cvd_10y_noHF","nPhysFac",NA,0.10342,0.16394,NA,NA
"mesa","cvd_10y_noHF","nPhysFac","alc",0.78338,0.00435,-0.40085,0.01273
"mesa","cvd_10y_noHF","nRS",NA,0.08776,0.06922,NA,NA
"mesa_bla","cvd_10y_HF","nSES",NA,0.05933,0.7309,NA,NA
"mesa_bla","cvd_10y_HF","nFavFood","FamIncome",-1.3883,0.02022,0.40119,0.04494
"mesa_bla","cvd_10y_HF","nFavFood",NA,-0.24597,0.05797,NA,NA
"mesa_bla","cvd_10y_HF","nPhysFac",NA,-0.39154,0.27241,NA,NA
"mesa_bla","cvd_10y_HF","nRS",NA,0.20413,0.05658,NA,NA
"mesa_bla","cvd_10y_noHF","nSES",NA,0.22809,0.25406,NA,NA
"mesa_bla","cvd_10y_noHF","nFavFood","FamIncome",-1.34633,0.03098,0.3928,0.06011
"mesa_bla","cvd_10y_noHF","nFavFood",NA,-0.22807,0.09203,NA,NA
"mesa_bla","cvd_10y_noHF","nPhysFac",NA,-0.47814,0.2417,NA,NA
"mesa_bla","cvd_10y_noHF","nRS",NA,0.24396,0.03257,NA,NA
"jhs","cvd_10y_HF","nSES",NA,0.11569,0.10465,NA,NA
"jhs","cvd_10y_HF","nSES","PhysAct",0.63018,4e-04,-0.28704,0.00141
"jhs","cvd_10y_HF","nFavFood",NA,0.07232,0.15873,NA,NA
"jhs","cvd_10y_HF","nPhysFac",NA,0.04651,0.45576,NA,NA
"jhs","cvd_10y_HF","nPhysFac","PhysAct",-0.12889,0.41993,0.09586,0.22122
"jhs","cvd_10y_HF","nRS",NA,0.22295,0.00107,NA,NA
"jhs","cvd_10y_noHF","nSES",NA,0.23,0.01193,NA,NA
"jhs","cvd_10y_noHF","nSES","PhysAct",0.88585,7e-05,-0.36754,0.00106
"jhs","cvd_10y_noHF","nFavFood",NA,0.07555,0.23378,NA,NA
"jhs","cvd_10y_noHF","nPhysFac",NA,0.01069,0.89345,NA,NA
"jhs","cvd_10y_noHF","nRS",NA,0.21775,0.01007,NA,NA
