"Data","Y","X","intercept","intercept_pvalue","moderator","X_coef","X_pvalue","interaction_coef","interaction_pvalue","mediator","mediator_coef","mediator_pvalue"
"mesa","cvd_10y_HF","nSES",-1.29558,0,NA,0.12714,0.04996,NA,NA,"nutrition&PhysAct","-0.34408;-0.15921","0.00319;0.01471"
"mesa","cvd_10y_HF","nFavFood",-2.5766,0,"currentSmoker",-0.10255,0.46572,0.04189,0.581,NA,NA,NA
"mesa","cvd_10y_HF","nPhysFac",-2.16828,0,NA,0.06731,0.35542,NA,NA,NA,NA,NA
"mesa","cvd_10y_HF","nRS",-2.17248,0,NA,0.03599,0.45276,NA,NA,NA,NA,NA
"mesa","cvd_10y_noHF","nSES",-1.7693,0,NA,0.2386,0.000937,NA,NA,"nutrition","-0.4484","0.000552"
"mesa","cvd_10y_noHF","nFavFood",-2.27499,0,NA,-0.02614,0.65043,NA,NA,NA,NA,NA
"mesa","cvd_10y_noHF","nPhysFac",-1.7495,0,"alc",0.84448,0.00237,-0.44234,0.00768,NA,NA,NA
"mesa","cvd_10y_noHF","nRS",-2.38434,0,NA,0.08776,0.06922,NA,NA,NA,NA,NA
"mesa_bla","cvd_10y_HF","nSES",-2.39273,0,NA,0.05933,0.7309,NA,NA,NA,NA,NA
"mesa_bla","cvd_10y_HF","nFavFood",-1.8177,2e-05,"FamIncome",-1.413,0.01685,0.41087,0.03911,NA,NA,NA
"mesa_bla","cvd_10y_HF","nPhysFac",-2.49079,0,NA,-0.39154,0.27241,NA,NA,NA,NA,NA
"mesa_bla","cvd_10y_HF","nRS",-2.21599,0,NA,0.20413,0.05658,NA,NA,NA,NA,NA
"mesa_bla","cvd_10y_noHF","nSES",-2.72897,0,NA,0.22809,0.25406,NA,NA,NA,NA,NA
"mesa_bla","cvd_10y_noHF","nFavFood",-2.03398,1e-05,"FamIncome",-1.35848,0.02916,0.39754,0.05765,NA,NA,NA
"mesa_bla","cvd_10y_noHF","nPhysFac",-2.75011,0,NA,-0.47814,0.2417,NA,NA,NA,NA,NA
"mesa_bla","cvd_10y_noHF","nRS",-2.45299,0,NA,0.24396,0.03257,NA,NA,NA,NA,NA
"jhs","cvd_10y_HF","nSES",-1.48137,0,"PhysAct",0.50657,0.00368,-0.25204,0.00847,NA,NA,NA
"jhs","cvd_10y_HF","nFavFood",-1.99737,0,NA,0.07232,0.15873,NA,NA,NA,NA,NA
"jhs","cvd_10y_HF","nPhysFac",-1.44338,0,"PhysAct",-0.08537,0.57785,0.08066,0.32888,NA,NA,NA
"jhs","cvd_10y_HF","nRS",-2.08769,0,NA,0.22295,0.00107,NA,NA,NA,NA,NA
"jhs","cvd_10y_noHF","nSES",-2.06439,0,"PhysAct",0.71399,0.00124,-0.31146,0.01018,NA,NA,NA
"jhs","cvd_10y_noHF","nFavFood",-2.53628,0,NA,0.07555,0.23378,NA,NA,NA,NA,NA
"jhs","cvd_10y_noHF","nPhysFac",-2.59241,0,NA,0.01069,0.89345,NA,NA,NA,NA,NA
"jhs","cvd_10y_noHF","nRS",-2.6062,0,NA,0.21775,0.01007,NA,NA,NA,NA,NA
