"Data","Y","X","intercept","intercept_pvalue","moderator","X_coef","X_pvalue","interaction_coef","interaction_pvalue"
"mesa","cvd_10y_HF","nSES",-2.14406,0,NA,0.14217,0.0268,NA,NA
"mesa","cvd_10y_HF","nFavFood",-2.11853,0,NA,-0.03973,0.46816,NA,NA
"mesa","cvd_10y_HF","nFavFood",-2.12099,0,"currentSmoker",-0.24864,0.05634,0.12967,0.0659
"mesa","cvd_10y_HF","nPhysFac",-2.16828,0,NA,0.06731,0.35542,NA,NA
"mesa","cvd_10y_HF","nRS",-2.17248,0,NA,0.03599,0.45276,NA,NA
"mesa","cvd_10y_noHF","nSES",-2.37566,0,NA,0.23402,0.00113,NA,NA
"mesa","cvd_10y_noHF","nFavFood",-2.27499,0,NA,-0.02614,0.65043,NA,NA
"mesa","cvd_10y_noHF","nPhysFac",-2.34002,0,NA,0.10342,0.16394,NA,NA
"mesa","cvd_10y_noHF","nPhysFac",-2.33949,0,"alc",0.78338,0.00435,-0.40085,0.01273
"mesa","cvd_10y_noHF","nRS",-2.38434,0,NA,0.08776,0.06922,NA,NA
"mesa_bla","cvd_10y_HF","nSES",-2.39273,0,NA,0.05933,0.7309,NA,NA
"mesa_bla","cvd_10y_HF","nFavFood",-1.97684,0,"FamIncome",-1.3883,0.02022,0.40119,0.04494
"mesa_bla","cvd_10y_HF","nFavFood",-1.98454,0,NA,-0.24597,0.05797,NA,NA
"mesa_bla","cvd_10y_HF","nPhysFac",-2.49079,0,NA,-0.39154,0.27241,NA,NA
"mesa_bla","cvd_10y_HF","nRS",-2.21599,0,NA,0.20413,0.05658,NA,NA
"mesa_bla","cvd_10y_noHF","nSES",-2.72897,0,NA,0.22809,0.25406,NA,NA
"mesa_bla","cvd_10y_noHF","nFavFood",-2.11026,0,"FamIncome",-1.34633,0.03098,0.3928,0.06011
"mesa_bla","cvd_10y_noHF","nFavFood",-2.11766,0,NA,-0.22807,0.09203,NA,NA
"mesa_bla","cvd_10y_noHF","nPhysFac",-2.75011,0,NA,-0.47814,0.2417,NA,NA
"mesa_bla","cvd_10y_noHF","nRS",-2.45299,0,NA,0.24396,0.03257,NA,NA
"jhs","cvd_10y_HF","nSES",-2.09471,0,NA,0.11569,0.10465,NA,NA
"jhs","cvd_10y_HF","nSES",-2.11886,0,"PhysAct",0.63018,4e-04,-0.28704,0.00141
"jhs","cvd_10y_HF","nFavFood",-1.99737,0,NA,0.07232,0.15873,NA,NA
"jhs","cvd_10y_HF","nPhysFac",-2.05968,0,NA,0.04651,0.45576,NA,NA
"jhs","cvd_10y_HF","nPhysFac",-2.06206,0,"PhysAct",-0.12889,0.41993,0.09586,0.22122
"jhs","cvd_10y_HF","nRS",-2.08769,0,NA,0.22295,0.00107,NA,NA
"jhs","cvd_10y_noHF","nSES",-2.6402,0,NA,0.23,0.01193,NA,NA
"jhs","cvd_10y_noHF","nSES",-2.67709,0,"PhysAct",0.88585,7e-05,-0.36754,0.00106
"jhs","cvd_10y_noHF","nFavFood",-2.53628,0,NA,0.07555,0.23378,NA,NA
"jhs","cvd_10y_noHF","nPhysFac",-2.59241,0,NA,0.01069,0.89345,NA,NA
"jhs","cvd_10y_noHF","nRS",-2.6062,0,NA,0.21775,0.01007,NA,NA
