,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_std,nSES,FamIncome,race_site,ACME,-0.01922,-0.05251,0.01489
1,mesa_std,nSES,FamIncome,race_site,ADE,0.06054,-0.04673,0.16641
2,mesa_std,nSES,FamIncome,race_site,Total Effect,0.0762,-0.02052,0.17343
3,mesa_std,nSES,FamIncome,race_site,Prop. Mediated,-0.25221,-0.87245,0.5467
4,mesa_std,nSES,nutrition,race_site,ACME,-0.00338,-0.00822,0.00113
5,mesa_std,nSES,nutrition,race_site,ADE,0.07268,-0.02521,0.17254
6,mesa_std,nSES,nutrition,race_site,Total Effect,0.08015,-0.01831,0.18113
7,mesa_std,nSES,nutrition,race_site,Prop. Mediated,-0.04221,-0.06956,-0.01552
8,mesa_std,nSES,PhysAct,race_site,ACME,-0.00903,-0.02265,0.00348
9,mesa_std,nSES,PhysAct,race_site,ADE,0.06925,-0.02648,0.16939
10,mesa_std,nSES,PhysAct,race_site,Total Effect,0.08242,-0.01285,0.18181
11,mesa_std,nSES,PhysAct,race_site,Prop. Mediated,-0.10953,-0.25411,0.0863
12,mesa_std,nSES,currentSmoker,race_site,ACME,0.00321,-0.00061,0.00796
13,mesa_std,nSES,currentSmoker,race_site,ADE,0.07861,-0.01574,0.17955
14,mesa_std,nSES,currentSmoker,race_site,Total Effect,0.0811,-0.01243,0.18417
15,mesa_std,nSES,currentSmoker,race_site,Prop. Mediated,0.03954,0.01829,0.05814
16,mesa_std,nSES,alc,race_site,ACME,-0.00645,-0.0147,0.00175
17,mesa_std,nSES,alc,race_site,ADE,0.08327,-0.02237,0.18957
18,mesa_std,nSES,alc,race_site,Total Effect,0.08363,-0.0197,0.19113
19,mesa_std,nSES,alc,race_site,Prop. Mediated,-0.07713,-0.11542,-0.03547
20,mesa_std,nFavFood,FamIncome,race_site,ACME,0.00481,-0.00136,0.01287
21,mesa_std,nFavFood,FamIncome,race_site,ADE,-0.07631,-0.18846,0.02731
22,mesa_std,nFavFood,FamIncome,race_site,Total Effect,-0.06358,-0.16979,0.03304
23,mesa_std,nFavFood,FamIncome,race_site,Prop. Mediated,-0.0757,-0.21043,0.05898
24,mesa_std,nFavFood,nutrition,race_site,ACME,-0.00176,-0.00598,0.00182
25,mesa_std,nFavFood,nutrition,race_site,ADE,-0.04826,-0.1647,0.04971
26,mesa_std,nFavFood,nutrition,race_site,Total Effect,-0.05936,-0.17359,0.03978
27,mesa_std,nFavFood,nutrition,race_site,Prop. Mediated,0.02963,-0.0144,0.1143
28,mesa_std,nFavFood,PhysAct,race_site,ACME,-0.00184,-0.00637,0.00124
29,mesa_std,nFavFood,PhysAct,race_site,ADE,-0.06011,-0.1728,0.03841
30,mesa_std,nFavFood,PhysAct,race_site,Total Effect,-0.06111,-0.17353,0.03719
31,mesa_std,nFavFood,PhysAct,race_site,Prop. Mediated,0.0301,0.00717,0.05308
32,mesa_std,nFavFood,currentSmoker,race_site,ACME,0.00025,-0.00146,0.00214
33,mesa_std,nFavFood,currentSmoker,race_site,ADE,-0.06349,-0.17637,0.03884
34,mesa_std,nFavFood,currentSmoker,race_site,Total Effect,-0.06289,-0.1738,0.03706
35,mesa_std,nFavFood,currentSmoker,race_site,Prop. Mediated,-0.00398,-0.0223,0.01747
36,mesa_std,nFavFood,alc,race_site,ACME,0.00058,-0.00055,0.00234
37,mesa_std,nFavFood,alc,race_site,ADE,-0.06425,-0.17668,0.03664
38,mesa_std,nFavFood,alc,race_site,Total Effect,-0.06416,-0.17666,0.0371
39,mesa_std,nFavFood,alc,race_site,Prop. Mediated,-0.00899,-0.02201,0.00394
40,mesa_std,nPhysFac,FamIncome,race_site,ACME,-0.00124,-0.01162,0.00804
41,mesa_std,nPhysFac,FamIncome,race_site,ADE,-0.01238,-0.11207,0.07465
42,mesa_std,nPhysFac,FamIncome,race_site,Total Effect,-0.01645,-0.11392,0.07151
43,mesa_std,nPhysFac,FamIncome,race_site,Prop. Mediated,0.07523,-0.08973,0.23003
44,mesa_std,nPhysFac,nutrition,race_site,ACME,-0.00023,-0.005,0.00436
45,mesa_std,nPhysFac,nutrition,race_site,ADE,-0.00484,-0.1112,0.08388
46,mesa_std,nPhysFac,nutrition,race_site,Total Effect,-0.01607,-0.12101,0.07109
47,mesa_std,nPhysFac,nutrition,race_site,Prop. Mediated,0.01432,-0.12776,0.24474
48,mesa_std,nPhysFac,PhysAct,race_site,ACME,-0.00077,-0.00902,0.00649
49,mesa_std,nPhysFac,PhysAct,race_site,ADE,-0.01013,-0.111,0.08293
50,mesa_std,nPhysFac,PhysAct,race_site,Total Effect,-0.01622,-0.1165,0.07598
51,mesa_std,nPhysFac,PhysAct,race_site,Prop. Mediated,0.04719,-0.04526,0.25236
52,mesa_std,nPhysFac,currentSmoker,race_site,ACME,0.00026,-0.00134,0.00237
53,mesa_std,nPhysFac,currentSmoker,race_site,ADE,-0.01774,-0.12845,0.07198
54,mesa_std,nPhysFac,currentSmoker,race_site,Total Effect,-0.01845,-0.12987,0.07259
55,mesa_std,nPhysFac,currentSmoker,race_site,Prop. Mediated,-0.01415,-0.03513,0.00721
