,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,jhs_std,nSES,FamIncome,,ACME,-0.05807,-0.10939,-0.01583
1,jhs_std,nSES,FamIncome,,ADE,0.21092,0.05635,0.38351
2,jhs_std,nSES,FamIncome,,Total Effect,0.20658,0.05736,0.36495
3,jhs_std,nSES,FamIncome,,Prop. Mediated,-0.28108,-0.38182,-0.19646
4,jhs_std,nSES,nutrition,,ACME,-0.0004,-0.00481,0.00329
5,jhs_std,nSES,nutrition,,ADE,0.2082,0.05513,0.36172
6,jhs_std,nSES,nutrition,,Total Effect,0.20802,0.05515,0.36029
7,jhs_std,nSES,nutrition,,Prop. Mediated,-0.00192,-0.01835,0.01387
8,jhs_std,nSES,PhysAct,,ACME,-0.02332,-0.04137,-0.0074
9,jhs_std,nSES,PhysAct,,ADE,0.19805,0.06146,0.34052
10,jhs_std,nSES,PhysAct,,Total Effect,0.21365,0.07497,0.3652
11,jhs_std,nSES,PhysAct,,Prop. Mediated,-0.10913,-0.13421,-0.08337
12,jhs_std,nSES,currentSmoker,,ACME,0.00294,0.00041,0.00687
13,jhs_std,nSES,currentSmoker,,ADE,0.19179,0.04212,0.35147
14,jhs_std,nSES,currentSmoker,,Total Effect,0.20992,0.06115,0.36811
15,jhs_std,nSES,currentSmoker,,Prop. Mediated,0.01399,0.00421,0.02253
16,jhs_std,nSES,alc,,ACME,-0.0127,-0.0237,-0.00399
17,jhs_std,nSES,alc,,ADE,0.21084,0.06464,0.38095
18,jhs_std,nSES,alc,,Total Effect,0.20729,0.06161,0.37049
19,jhs_std,nSES,alc,,Prop. Mediated,-0.06127,-0.08097,-0.04518
20,jhs_std,nFavFood,FamIncome,,ACME,-0.00682,-0.02908,0.01499
21,jhs_std,nFavFood,FamIncome,,ADE,0.04081,-0.08712,0.17527
22,jhs_std,nFavFood,FamIncome,,Total Effect,0.04486,-0.08093,0.17671
23,jhs_std,nFavFood,FamIncome,,Prop. Mediated,-0.15205,-0.37978,0.13785
24,jhs_std,nFavFood,nutrition,,ACME,0.00054,-0.0014,0.00314
25,jhs_std,nFavFood,nutrition,,ADE,0.04226,-0.08471,0.17423
