,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_bla_std,nSES,FamIncome,site,ACME,-0.02614,-0.11055,0.04559
1,mesa_bla_std,nSES,FamIncome,site,ADE,0.12193,-0.21333,0.494
2,mesa_bla_std,nSES,FamIncome,site,Total Effect,0.16844,-0.17305,0.56418
3,mesa_bla_std,nSES,FamIncome,site,Prop. Mediated,-0.1552,-0.77967,0.28512
4,mesa_bla_std,nSES,nutrition,site,ACME,0.0021,-0.00634,0.01533
5,mesa_bla_std,nSES,nutrition,site,ADE,0.1541,-0.17702,0.51062
6,mesa_bla_std,nSES,nutrition,site,Total Effect,0.15221,-0.16855,0.52247
7,mesa_bla_std,nSES,nutrition,site,Prop. Mediated,0.01379,-0.02218,0.05487
8,mesa_bla_std,nSES,PhysAct,site,ACME,-0.01234,-0.04936,0.01164
9,mesa_bla_std,nSES,PhysAct,site,ADE,0.14997,-0.15588,0.52258
10,mesa_bla_std,nSES,PhysAct,site,Total Effect,0.15038,-0.14906,0.51454
11,mesa_bla_std,nSES,PhysAct,site,Prop. Mediated,-0.08204,-0.16917,-0.01667
12,mesa_bla_std,nSES,currentSmoker,site,ACME,0.00755,-0.01045,0.03463
13,mesa_bla_std,nSES,currentSmoker,site,ADE,0.15119,-0.18006,0.52621
14,mesa_bla_std,nSES,currentSmoker,site,Total Effect,0.15979,-0.173,0.53107
15,mesa_bla_std,nSES,currentSmoker,site,Prop. Mediated,0.04726,-0.00918,0.10723
16,mesa_bla_std,nSES,alc,site,ACME,-0.01093,-0.04102,0.01012
17,mesa_bla_std,nSES,alc,site,ADE,0.15303,-0.14639,0.50927
18,mesa_bla_std,nSES,alc,site,Total Effect,0.15869,-0.13698,0.52678
19,mesa_bla_std,nSES,alc,site,Prop. Mediated,-0.06885,-0.13876,0.00258
20,mesa_bla_std,nFavFood,FamIncome,site,ACME,-0.00347,-0.02166,0.01741
21,mesa_bla_std,nFavFood,FamIncome,site,ADE,0.04206,-0.20726,0.25109
22,mesa_bla_std,nFavFood,FamIncome,site,Total Effect,0.06413,-0.17918,0.26703
23,mesa_bla_std,nFavFood,FamIncome,site,Prop. Mediated,-0.05416,-0.33238,0.1151
24,mesa_bla_std,nFavFood,nutrition,site,ACME,0.00293,-0.00743,0.01241
25,mesa_bla_std,nFavFood,nutrition,site,ADE,0.07808,-0.17321,0.27837
26,mesa_bla_std,nFavFood,nutrition,site,Total Effect,0.07094,-0.1752,0.27718
27,mesa_bla_std,nFavFood,nutrition,site,Prop. Mediated,0.04135,0.00693,0.08449
28,mesa_bla_std,nFavFood,PhysAct,site,ACME,0.00421,-0.00995,0.0182
29,mesa_bla_std,nFavFood,PhysAct,site,ADE,0.06814,-0.15938,0.26143
30,mesa_bla_std,nFavFood,PhysAct,site,Total Effect,0.06574,-0.16114,0.26045
31,mesa_bla_std,nFavFood,PhysAct,site,Prop. Mediated,0.06409,0.00759,0.15828
32,mesa_bla_std,nFavFood,currentSmoker,site,ACME,-0.00111,-0.00838,0.00443
33,mesa_bla_std,nFavFood,currentSmoker,site,ADE,0.05934,-0.17273,0.27544
34,mesa_bla_std,nFavFood,currentSmoker,site,Total Effect,0.06291,-0.16954,0.2778
35,mesa_bla_std,nFavFood,currentSmoker,site,Prop. Mediated,-0.01769,-0.06085,0.01797
36,mesa_bla_std,nFavFood,alc,site,ACME,-0.00012,-0.00387,0.00273
37,mesa_bla_std,nFavFood,alc,site,ADE,0.06748,-0.16514,0.26196
38,mesa_bla_std,nFavFood,alc,site,Total Effect,0.06533,-0.16484,0.25772
39,mesa_bla_std,nFavFood,alc,site,Prop. Mediated,-0.00185,-0.0272,0.02702
40,mesa_bla_std,nPhysFac,FamIncome,site,ACME,-0.01841,-0.06502,0.02677
41,mesa_bla_std,nPhysFac,FamIncome,site,ADE,0.14203,-0.2091,0.40565
42,mesa_bla_std,nPhysFac,FamIncome,site,Total Effect,0.16769,-0.16278,0.42297
43,mesa_bla_std,nPhysFac,FamIncome,site,Prop. Mediated,-0.10981,-0.32174,0.0123
44,mesa_bla_std,nPhysFac,nutrition,site,ACME,0.0058,-0.00562,0.02458
45,mesa_bla_std,nPhysFac,nutrition,site,ADE,0.17487,-0.15001,0.46636
46,mesa_bla_std,nPhysFac,nutrition,site,Total Effect,0.16989,-0.15206,0.4539
47,mesa_bla_std,nPhysFac,nutrition,site,Prop. Mediated,0.03414,-0.0094,0.08371
48,mesa_bla_std,nPhysFac,PhysAct,site,ACME,0.01435,-0.01669,0.04943
49,mesa_bla_std,nPhysFac,PhysAct,site,ADE,0.15764,-0.1634,0.44566
50,mesa_bla_std,nPhysFac,PhysAct,site,Total Effect,0.15416,-0.15925,0.44529
51,mesa_bla_std,nPhysFac,PhysAct,site,Prop. Mediated,0.09305,0.02163,0.17605
52,mesa_bla_std,nPhysFac,currentSmoker,site,ACME,-0.00561,-0.02322,0.00845
53,mesa_bla_std,nPhysFac,currentSmoker,site,ADE,0.16674,-0.19346,0.44018
54,mesa_bla_std,nPhysFac,currentSmoker,site,Total Effect,0.16276,-0.19353,0.43083
55,mesa_bla_std,nPhysFac,currentSmoker,site,Prop. Mediated,-0.03446,-0.10135,0.0317
56,mesa_bla_std,nPhysFac,alc,site,ACME,0.00643,-0.00628,0.02151
57,mesa_bla_std,nPhysFac,alc,site,ADE,0.17257,-0.17248,0.45154
58,mesa_bla_std,nPhysFac,alc,site,Total Effect,0.16594,-0.17842,0.44294
59,mesa_bla_std,nPhysFac,alc,site,Prop. Mediated,0.03873,-0.00342,0.08326
60,mesa_bla_std,nRS,FamIncome,site,ACME,-0.02099,-0.04341,-0.00245
61,mesa_bla_std,nRS,FamIncome,site,ADE,0.24224,0.03268,0.44584
62,mesa_bla_std,nRS,FamIncome,site,Total Effect,0.25971,0.05517,0.46024
63,mesa_bla_std,nRS,FamIncome,site,Prop. Mediated,-0.08082,-0.12243,-0.04225
64,mesa_bla_std,nRS,nutrition,site,ACME,0.00458,-0.00085,0.01263
65,mesa_bla_std,nRS,nutrition,site,ADE,0.27194,0.06923,0.47982
66,mesa_bla_std,nRS,nutrition,site,Total Effect,0.26257,0.06754,0.47102
67,mesa_bla_std,nRS,nutrition,site,Prop. Mediated,0.01745,-0.00448,0.04259
68,mesa_bla_std,nRS,PhysAct,site,ACME,0.00144,-0.00946,0.01177
69,mesa_bla_std,nRS,PhysAct,site,ADE,0.26547,0.05121,0.46695
70,mesa_bla_std,nRS,PhysAct,site,Total Effect,0.26439,0.05552,0.46658
71,mesa_bla_std,nRS,PhysAct,site,Prop. Mediated,0.00546,-0.03043,0.04047
72,mesa_bla_std,nRS,currentSmoker,site,ACME,0.00824,-0.00035,0.01997
73,mesa_bla_std,nRS,currentSmoker,site,ADE,0.26553,0.07449,0.4604
74,mesa_bla_std,nRS,currentSmoker,site,Total Effect,0.26218,0.07166,0.45667
75,mesa_bla_std,nRS,currentSmoker,site,Prop. Mediated,0.03144,-0.00026,0.06338
76,mesa_bla_std,nRS,alc,site,ACME,0.0012,-0.00482,0.0083
77,mesa_bla_std,nRS,alc,site,ADE,0.2651,0.05258,0.47312
78,mesa_bla_std,nRS,alc,site,Total Effect,0.26733,0.05473,0.4608
79,mesa_bla_std,nRS,alc,site,Prop. Mediated,0.00447,-0.01793,0.02616
80,mesa_bla_std,nSES,FamIncome,,ACME,-0.03192,-0.11218,0.04052
81,mesa_bla_std,nSES,FamIncome,,ADE,0.15057,-0.17972,0.49523
82,mesa_bla_std,nSES,FamIncome,,Total Effect,0.19119,-0.12888,0.54075
83,mesa_bla_std,nSES,FamIncome,,Prop. Mediated,-0.16698,-0.58715,0.33828
84,mesa_bla_std,nSES,nutrition,,ACME,0.00243,-0.00539,0.01611
85,mesa_bla_std,nSES,nutrition,,ADE,0.19081,-0.13077,0.55018
86,mesa_bla_std,nSES,nutrition,,Total Effect,0.18976,-0.13288,0.54432
87,mesa_bla_std,nSES,nutrition,,Prop. Mediated,0.01283,-0.0243,0.05015
88,mesa_bla_std,nSES,PhysAct,,ACME,-0.01603,-0.05537,0.01127
89,mesa_bla_std,nSES,PhysAct,,ADE,0.192,-0.1448,0.54165
90,mesa_bla_std,nSES,PhysAct,,Total Effect,0.19296,-0.1442,0.54771
91,mesa_bla_std,nSES,PhysAct,,Prop. Mediated,-0.08306,-0.16376,-0.0172
92,mesa_bla_std,nSES,currentSmoker,,ACME,0.00914,-0.00616,0.03667
93,mesa_bla_std,nSES,currentSmoker,,ADE,0.18167,-0.1184,0.51815
94,mesa_bla_std,nSES,currentSmoker,,Total Effect,0.18661,-0.11044,0.51719
95,mesa_bla_std,nSES,currentSmoker,,Prop. Mediated,0.049,-0.00946,0.10578
96,mesa_bla_std,nSES,alc,,ACME,-0.01291,-0.04189,0.0098
97,mesa_bla_std,nSES,alc,,ADE,0.18107,-0.13675,0.54761
98,mesa_bla_std,nSES,alc,,Total Effect,0.19013,-0.11668,0.54967
99,mesa_bla_std,nSES,alc,,Prop. Mediated,-0.06788,-0.14772,-0.00316
