,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
0,mesa_std,nSES,FamIncome,race_site,ACME,-0.02264,-0.0605,0.01378
1,mesa_std,nSES,FamIncome,race_site,ADE,0.07127,-0.04305,0.1892
2,mesa_std,nSES,FamIncome,race_site,Total Effect,0.09581,-0.01738,0.20664
3,mesa_std,nSES,FamIncome,race_site,Prop. Mediated,-0.23629,-0.57049,0.48661
4,mesa_std,nSES,nutrition,race_site,ACME,-0.00398,-0.00972,0.00144
5,mesa_std,nSES,nutrition,race_site,ADE,0.08565,-0.03155,0.19479
6,mesa_std,nSES,nutrition,race_site,Total Effect,0.09397,-0.02262,0.20275
7,mesa_std,nSES,nutrition,race_site,Prop. Mediated,-0.04236,-0.06713,-0.01771
8,mesa_std,nSES,PhysAct,race_site,ACME,-0.01086,-0.02659,0.00231
9,mesa_std,nSES,PhysAct,race_site,ADE,0.08361,-0.01666,0.19908
10,mesa_std,nSES,PhysAct,race_site,Total Effect,0.09489,-0.0073,0.21631
11,mesa_std,nSES,PhysAct,race_site,Prop. Mediated,-0.11444,-0.17158,-0.00338
12,mesa_std,nSES,currentSmoker,race_site,ACME,0.00373,-0.0007,0.00908
13,mesa_std,nSES,currentSmoker,race_site,ADE,0.09191,-0.02099,0.19904
14,mesa_std,nSES,currentSmoker,race_site,Total Effect,0.09469,-0.01825,0.20228
15,mesa_std,nSES,currentSmoker,race_site,Prop. Mediated,0.03941,0.0207,0.05752
16,mesa_std,nSES,alc,race_site,ACME,-0.00715,-0.01661,0.00139
17,mesa_std,nSES,alc,race_site,ADE,0.09205,-0.01826,0.2077
18,mesa_std,nSES,alc,race_site,Total Effect,0.0949,-0.01439,0.21182
19,mesa_std,nSES,alc,race_site,Prop. Mediated,-0.0753,-0.11932,-0.02453
20,mesa_std,nFavFood,FamIncome,race_site,ACME,0.00334,-0.00427,0.01188
21,mesa_std,nFavFood,FamIncome,race_site,ADE,-0.05255,-0.17813,0.06728
22,mesa_std,nFavFood,FamIncome,race_site,Total Effect,-0.03657,-0.15438,0.07466
23,mesa_std,nFavFood,FamIncome,race_site,Prop. Mediated,-0.0912,-0.28713,0.09436
24,mesa_std,nFavFood,nutrition,race_site,ACME,-0.00081,-0.00542,0.00373
25,mesa_std,nFavFood,nutrition,race_site,ADE,-0.02229,-0.14423,0.09546
26,mesa_std,nFavFood,nutrition,race_site,Total Effect,-0.03442,-0.15428,0.08354
27,mesa_std,nFavFood,nutrition,race_site,Prop. Mediated,0.0235,-0.04951,0.13728
28,mesa_std,nFavFood,PhysAct,race_site,ACME,-0.00105,-0.0056,0.0025
29,mesa_std,nFavFood,PhysAct,race_site,ADE,-0.03338,-0.14772,0.0773
30,mesa_std,nFavFood,PhysAct,race_site,Total Effect,-0.03417,-0.14867,0.07631
31,mesa_std,nFavFood,PhysAct,race_site,Prop. Mediated,0.03061,0.00485,0.05473
32,mesa_std,nFavFood,currentSmoker,race_site,ACME,0.00016,-0.00108,0.00185
33,mesa_std,nFavFood,currentSmoker,race_site,ADE,-0.03661,-0.1465,0.07097
34,mesa_std,nFavFood,currentSmoker,race_site,Total Effect,-0.03611,-0.1459,0.06824
35,mesa_std,nFavFood,currentSmoker,race_site,Prop. Mediated,-0.00432,-0.02194,0.01822
36,mesa_std,nFavFood,alc,race_site,ACME,0.00034,-0.00091,0.00191
37,mesa_std,nFavFood,alc,race_site,ADE,-0.03703,-0.15766,0.07449
38,mesa_std,nFavFood,alc,race_site,Total Effect,-0.0368,-0.15749,0.07407
39,mesa_std,nFavFood,alc,race_site,Prop. Mediated,-0.00932,-0.02299,0.00413
40,mesa_std,nPhysFac,FamIncome,race_site,ACME,0.00034,-0.01076,0.01026
41,mesa_std,nPhysFac,FamIncome,race_site,ADE,0.00344,-0.10776,0.10478
42,mesa_std,nPhysFac,FamIncome,race_site,Total Effect,-0.00186,-0.11438,0.09702
43,mesa_std,nPhysFac,FamIncome,race_site,Prop. Mediated,-0.18348,-0.04696,0.25217
44,mesa_std,nPhysFac,nutrition,race_site,ACME,0.00055,-0.00481,0.00574
45,mesa_std,nPhysFac,nutrition,race_site,ADE,0.01155,-0.10685,0.11441
46,mesa_std,nPhysFac,nutrition,race_site,Total Effect,-0.00029,-0.11854,0.10281
47,mesa_std,nPhysFac,nutrition,race_site,Prop. Mediated,-1.8749,-0.24759,0.31023
48,mesa_std,nPhysFac,PhysAct,race_site,ACME,0.00019,-0.00831,0.00776
49,mesa_std,nPhysFac,PhysAct,race_site,ADE,0.00253,-0.11417,0.0951
50,mesa_std,nPhysFac,PhysAct,race_site,Total Effect,-0.00282,-0.12057,0.08948
51,mesa_std,nPhysFac,PhysAct,race_site,Prop. Mediated,-0.06791,-0.01887,0.21263
52,mesa_std,nPhysFac,currentSmoker,race_site,ACME,7e-05,-0.00183,0.00224
53,mesa_std,nPhysFac,currentSmoker,race_site,ADE,-0.00482,-0.11645,0.1016
54,mesa_std,nPhysFac,currentSmoker,race_site,Total Effect,-0.00572,-0.11441,0.10001
55,mesa_std,nPhysFac,currentSmoker,race_site,Prop. Mediated,-0.01286,-0.03727,0.00505
56,mesa_std,nPhysFac,alc,race_site,ACME,-7e-05,-0.00441,0.00338
57,mesa_std,nPhysFac,alc,race_site,ADE,-0.0021,-0.12246,0.09583
58,mesa_std,nPhysFac,alc,race_site,Total Effect,-0.00364,-0.12415,0.09351
59,mesa_std,nPhysFac,alc,race_site,Prop. Mediated,0.0203,-0.00084,0.05825
60,mesa_std,nRS,FamIncome,race_site,ACME,-0.01645,-0.02947,-0.00415
61,mesa_std,nRS,FamIncome,race_site,ADE,0.16437,0.04246,0.2722
62,mesa_std,nRS,FamIncome,race_site,Total Effect,0.17171,0.05337,0.28115
63,mesa_std,nRS,FamIncome,race_site,Prop. Mediated,-0.0958,-0.12185,-0.06964
64,mesa_std,nRS,nutrition,race_site,ACME,-0.00174,-0.00505,0.00039
65,mesa_std,nRS,nutrition,race_site,ADE,0.1665,0.05167,0.27641
66,mesa_std,nRS,nutrition,race_site,Total Effect,0.17147,0.0577,0.28364
67,mesa_std,nRS,nutrition,race_site,Prop. Mediated,-0.01012,-0.02281,0.00259
68,mesa_std,nRS,PhysAct,race_site,ACME,-0.00289,-0.0079,0.00096
69,mesa_std,nRS,PhysAct,race_site,ADE,0.16949,0.05313,0.27741
70,mesa_std,nRS,PhysAct,race_site,Total Effect,0.16991,0.05361,0.2777
71,mesa_std,nRS,PhysAct,race_site,Prop. Mediated,-0.01698,-0.03846,0.00574
72,mesa_std,nRS,currentSmoker,race_site,ACME,0.00955,0.00294,0.01695
73,mesa_std,nRS,currentSmoker,race_site,ADE,0.16445,0.05575,0.28015
74,mesa_std,nRS,currentSmoker,race_site,Total Effect,0.16748,0.06034,0.28211
75,mesa_std,nRS,currentSmoker,race_site,Prop. Mediated,0.05702,0.03681,0.07641
76,mesa_std,nRS,alc,race_site,ACME,-0.00555,-0.00981,-0.00178
77,mesa_std,nRS,alc,race_site,ADE,0.17248,0.05931,0.28078
78,mesa_std,nRS,alc,race_site,Total Effect,0.17265,0.0612,0.2817
79,mesa_std,nRS,alc,race_site,Prop. Mediated,-0.03213,-0.04624,-0.01864
80,mesa_std,nSES,FamIncome,race,ACME,-0.02268,-0.06146,0.01356
81,mesa_std,nSES,FamIncome,race,ADE,0.07145,-0.043,0.19469
82,mesa_std,nSES,FamIncome,race,Total Effect,0.09115,-0.01299,0.20819
83,mesa_std,nSES,FamIncome,race,Prop. Mediated,-0.24883,-0.69481,0.3702
84,mesa_std,nSES,nutrition,race,ACME,-0.00394,-0.00945,0.00114
85,mesa_std,nSES,nutrition,race,ADE,0.08382,-0.02441,0.20069
86,mesa_std,nSES,nutrition,race,Total Effect,0.09248,-0.01707,0.2071
87,mesa_std,nSES,nutrition,race,Prop. Mediated,-0.04266,-0.07058,-0.01048
88,mesa_std,nSES,PhysAct,race,ACME,-0.01096,-0.02606,0.00294
89,mesa_std,nSES,PhysAct,race,ADE,0.08438,-0.02304,0.19982
90,mesa_std,nSES,PhysAct,race,Total Effect,0.09429,-0.01277,0.20635
91,mesa_std,nSES,PhysAct,race,Prop. Mediated,-0.11629,-0.21057,0.00312
92,mesa_std,nSES,currentSmoker,race,ACME,0.0038,-0.00064,0.00906
93,mesa_std,nSES,currentSmoker,race,ADE,0.09439,-0.01439,0.20196
94,mesa_std,nSES,currentSmoker,race,Total Effect,0.09671,-0.01142,0.20543
95,mesa_std,nSES,currentSmoker,race,Prop. Mediated,0.03926,0.0211,0.05735
96,mesa_std,nSES,alc,race,ACME,-0.00699,-0.016,0.00126
97,mesa_std,nSES,alc,race,ADE,0.09059,-0.01507,0.19812
98,mesa_std,nSES,alc,race,Total Effect,0.09395,-0.01391,0.20505
99,mesa_std,nSES,alc,race,Prop. Mediated,-0.07438,-0.11017,-0.03987
100,mesa_std,nFavFood,FamIncome,race,ACME,0.00078,-0.00592,0.00847
101,mesa_std,nFavFood,FamIncome,race,ADE,-0.01235,-0.12978,0.09414
102,mesa_std,nFavFood,FamIncome,race,Total Effect,-0.00237,-0.12161,0.10249
103,mesa_std,nFavFood,FamIncome,race,Prop. Mediated,-0.32873,-0.28914,0.0916
104,mesa_std,nFavFood,nutrition,race,ACME,0.0002,-0.00386,0.00432
105,mesa_std,nFavFood,nutrition,race,ADE,0.00538,-0.1063,0.10587
106,mesa_std,nFavFood,nutrition,race,Total Effect,-0.0044,-0.1176,0.09712
107,mesa_std,nFavFood,nutrition,race,Prop. Mediated,-0.04443,-0.0895,0.11685
108,mesa_std,nFavFood,PhysAct,race,ACME,-0.00015,-0.00453,0.0041
109,mesa_std,nFavFood,PhysAct,race,ADE,-0.00467,-0.12773,0.11615
110,mesa_std,nFavFood,PhysAct,race,Total Effect,-0.00644,-0.12884,0.11413
111,mesa_std,nFavFood,PhysAct,race,Prop. Mediated,0.02275,0.00658,0.05398
112,mesa_std,nFavFood,currentSmoker,race,ACME,2e-05,-0.00137,0.00147
113,mesa_std,nFavFood,currentSmoker,race,ADE,-0.00412,-0.12118,0.1085
114,mesa_std,nFavFood,currentSmoker,race,Total Effect,-0.0028,-0.11797,0.10758
115,mesa_std,nFavFood,currentSmoker,race,Prop. Mediated,-0.00721,-0.02443,0.01734
116,mesa_std,nFavFood,alc,race,ACME,2e-05,-0.00146,0.00173
117,mesa_std,nFavFood,alc,race,ADE,-0.00244,-0.12751,0.11109
118,mesa_std,nFavFood,alc,race,Total Effect,-0.00183,-0.12753,0.11161
119,mesa_std,nFavFood,alc,race,Prop. Mediated,-0.01229,-0.02403,0.00513
120,mesa_std,nPhysFac,FamIncome,race,ACME,0.00097,-0.01033,0.01118
121,mesa_std,nPhysFac,FamIncome,race,ADE,0.00973,-0.09876,0.11435
122,mesa_std,nPhysFac,FamIncome,race,Total Effect,0.00375,-0.10404,0.10693
123,mesa_std,nPhysFac,FamIncome,race,Prop. Mediated,0.2592,-0.14884,0.31422
124,mesa_std,nPhysFac,nutrition,race,ACME,0.00067,-0.00503,0.00597
125,mesa_std,nPhysFac,nutrition,race,ADE,0.01421,-0.10771,0.12025
126,mesa_std,nPhysFac,nutrition,race,Total Effect,0.00246,-0.11846,0.10698
127,mesa_std,nPhysFac,nutrition,race,Prop. Mediated,0.27173,-0.08869,0.3243
128,mesa_std,nPhysFac,PhysAct,race,ACME,0.00089,-0.00838,0.00871
129,mesa_std,nPhysFac,PhysAct,race,ADE,0.01172,-0.11281,0.11231
130,mesa_std,nPhysFac,PhysAct,race,Total Effect,0.00636,-0.11923,0.10792
131,mesa_std,nPhysFac,PhysAct,race,Prop. Mediated,0.14005,-0.03891,0.20317
132,mesa_std,nPhysFac,currentSmoker,race,ACME,-6e-05,-0.00223,0.00213
133,mesa_std,nPhysFac,currentSmoker,race,ADE,0.00361,-0.11929,0.10633
134,mesa_std,nPhysFac,currentSmoker,race,Total Effect,0.00322,-0.11691,0.10443
135,mesa_std,nPhysFac,currentSmoker,race,Prop. Mediated,-0.0172,-0.03523,0.0025
136,mesa_std,nPhysFac,alc,race,ACME,0.00027,-0.00384,0.00386
137,mesa_std,nPhysFac,alc,race,ADE,0.00776,-0.10546,0.10482
138,mesa_std,nPhysFac,alc,race,Total Effect,0.00608,-0.11049,0.10232
139,mesa_std,nPhysFac,alc,race,Prop. Mediated,0.0446,-0.00104,0.06551
140,mesa_std,nRS,FamIncome,race,ACME,-0.01236,-0.02435,-0.00156
141,mesa_std,nRS,FamIncome,race,ADE,0.12353,0.01586,0.2287
142,mesa_std,nRS,FamIncome,race,Total Effect,0.13064,0.02406,0.23598
143,mesa_std,nRS,FamIncome,race,Prop. Mediated,-0.09462,-0.12486,-0.06302
144,mesa_std,nRS,nutrition,race,ACME,-0.00134,-0.00424,0.00053
145,mesa_std,nRS,nutrition,race,ADE,0.13157,0.02119,0.23497
146,mesa_std,nRS,nutrition,race,Total Effect,0.13361,0.02599,0.23632
147,mesa_std,nRS,nutrition,race,Prop. Mediated,-0.01005,-0.024,0.00448
148,mesa_std,nRS,PhysAct,race,ACME,-0.00216,-0.00685,0.00118
149,mesa_std,nRS,PhysAct,race,ADE,0.13251,0.01306,0.23364
150,mesa_std,nRS,PhysAct,race,Total Effect,0.13349,0.01393,0.23309
151,mesa_std,nRS,PhysAct,race,Prop. Mediated,-0.01618,-0.03881,0.00818
152,mesa_std,nRS,currentSmoker,race,ACME,0.00765,0.00096,0.01547
153,mesa_std,nRS,currentSmoker,race,ADE,0.13079,0.01537,0.23685
154,mesa_std,nRS,currentSmoker,race,Total Effect,0.13243,0.017,0.2373
155,mesa_std,nRS,currentSmoker,race,Prop. Mediated,0.05774,0.03787,0.07756
156,mesa_std,nRS,alc,race,ACME,-0.00431,-0.00838,-0.00076
157,mesa_std,nRS,alc,race,ADE,0.13292,0.02335,0.23287
158,mesa_std,nRS,alc,race,Total Effect,0.13256,0.02491,0.2315
159,mesa_std,nRS,alc,race,Prop. Mediated,-0.03248,-0.04575,-0.0192
160,mesa_std,nSES,FamIncome,site,ACME,-0.01573,-0.05524,0.02042
161,mesa_std,nSES,FamIncome,site,ADE,0.04945,-0.06658,0.17245
162,mesa_std,nSES,FamIncome,site,Total Effect,0.07335,-0.0353,0.18384
163,mesa_std,nSES,FamIncome,site,Prop. Mediated,-0.21444,-1.28107,0.60997
164,mesa_std,nSES,nutrition,site,ACME,-0.00317,-0.0088,0.00194
165,mesa_std,nSES,nutrition,site,ADE,0.06771,-0.04122,0.17915
166,mesa_std,nSES,nutrition,site,Total Effect,0.07551,-0.03236,0.18609
167,mesa_std,nSES,nutrition,site,Prop. Mediated,-0.04198,-0.08132,0.0053
168,mesa_std,nSES,PhysAct,site,ACME,-0.00867,-0.0239,0.00467
169,mesa_std,nSES,PhysAct,site,ADE,0.06643,-0.03709,0.18132
170,mesa_std,nSES,PhysAct,site,Total Effect,0.07724,-0.02649,0.19209
171,mesa_std,nSES,PhysAct,site,Prop. Mediated,-0.11222,-0.25703,0.08728
172,mesa_std,nSES,currentSmoker,site,ACME,0.00284,-0.00156,0.00847
173,mesa_std,nSES,currentSmoker,site,ADE,0.07076,-0.04171,0.18369
174,mesa_std,nSES,currentSmoker,site,Total Effect,0.07514,-0.03514,0.18868
175,mesa_std,nSES,currentSmoker,site,Prop. Mediated,0.03779,0.01312,0.06442
176,mesa_std,nSES,alc,site,ACME,-0.00559,-0.01499,0.00286
177,mesa_std,nSES,alc,site,ADE,0.07234,-0.0363,0.18736
178,mesa_std,nSES,alc,site,Total Effect,0.07358,-0.02873,0.18557
179,mesa_std,nSES,alc,site,Prop. Mediated,-0.07593,-0.14483,-0.0129
180,mesa_std,nFavFood,FamIncome,site,ACME,0.00316,-0.00423,0.01183
181,mesa_std,nFavFood,FamIncome,site,ADE,-0.05039,-0.17991,0.06335
