"Data","Y","X","mediator","b1","b1_pvalue","b2","b2_pvalue","b3","b3_pvalue","b4","b4_pvalue","b2_b4","sobel_pvalue"
"mesa","cvd_10y_HF","nSES","FamIncome",0.19731,0.00869,-0.20554,0,0.18533,0.01452,-0.0963,0.18485,0.01979,0.186801872311863
"mesa","cvd_10y_HF","nSES","nutrition",0.18954,0.01231,-0.02984,0.00032,0.18533,0.01452,-0.34489,0.00612,0.01029,0.0292024997016558
"mesa","cvd_10y_HF","nSES","PhysAct",0.19248,0.01093,-0.09958,0,0.18533,0.01452,-0.15807,0.0233,0.01574,0.0301539226649814
"mesa","cvd_10y_HF","nSES","currentSmoker",0.18327,0.01555,0.01852,0.11338,0.18533,0.01452,0.15426,0.07569,0.00286,0.23725307597415
"mesa","cvd_10y_HF","nSES","alc",0.18592,0.01422,-0.03813,0,0.18533,0.01452,-0.06648,0.59896,0.00253,0.601052316783718
"mesa","cvd_10y_HF","nFavFood","FamIncome",0.17695,0.06128,-0.02446,0.02246,0.18129,0.05549,0.07166,0.45405,-0.00175,0.476857635044989
"mesa","cvd_10y_HF","nFavFood","nutrition",0.17012,0.07166,0.03207,0,0.18129,0.05549,-0.31257,0.02803,-0.01002,0.0449252256399608
"mesa","cvd_10y_HF","nFavFood","PhysAct",0.17951,0.05541,-0.01104,0.28463,0.18129,0.05549,-0.48671,0,0.00537,0.292079548357674
"mesa","cvd_10y_HF","nFavFood","currentSmoker",0.17212,0.06653,-0.03274,0.00029,0.18129,0.05549,0.35411,0.00062,-0.01159,0.0127841574285665
"mesa","cvd_10y_HF","nFavFood","alc",0.16703,0.07612,-0.02221,0.00018,0.18129,0.05549,-0.20459,0.16742,0.00454,0.195156460696041
"mesa","cvd_10y_HF","nPhysFac","FamIncome",0.25615,0.00362,0.09621,0,0.25597,0.00359,0.05888,0.47233,0.00566,0.476274392189531
"mesa","cvd_10y_HF","nPhysFac","nutrition",0.24584,0.00488,0.07129,0,0.25597,0.00359,-0.14163,0.27271,-0.0101,0.278481887815519
"mesa","cvd_10y_HF","nPhysFac","PhysAct",0.2502,0.00437,0.09873,0,0.25597,0.00359,-0.11145,0.1395,-0.011,0.151390635114405
