,Data,Y,X,moderator,other,mean_coef,ci_lower,ci_upper
0,mesa_bla_std,cvd_10y_HF,nSES,FamIncome,site,-0.08312,-0.36483,0.20132
1,mesa_bla_std,cvd_10y_HF,nSES,nutrition,site,-0.03017,-0.69631,0.72987
2,mesa_bla_std,cvd_10y_HF,nSES,PhysAct,site,0.24912,-0.1795,0.61786
3,mesa_bla_std,cvd_10y_HF,nSES,currentSmoker,site,-0.0331,-0.45003,0.36685
4,mesa_bla_std,cvd_10y_HF,nSES,alc,site,0.01643,-0.58525,0.59165
5,mesa_bla_std,cvd_10y_HF,nFavFood,FamIncome,site,0.2736,0.02641,0.54171
6,mesa_bla_std,cvd_10y_HF,nFavFood,nutrition,site,-0.22611,-0.72863,0.19703
7,mesa_bla_std,cvd_10y_HF,nFavFood,PhysAct,site,0.11061,-0.13302,0.42612
8,mesa_bla_std,cvd_10y_HF,nFavFood,currentSmoker,site,-0.18601,-0.48377,0.07986
9,mesa_bla_std,cvd_10y_HF,nFavFood,alc,site,-0.25332,-0.65322,0.13155
10,mesa_bla_std,cvd_10y_HF,nPhysFac,FamIncome,site,0.28263,-0.05235,0.66203
11,mesa_bla_std,cvd_10y_HF,nPhysFac,nutrition,site,-0.08959,-0.86905,0.48895
12,mesa_bla_std,cvd_10y_HF,nPhysFac,PhysAct,site,-0.01251,-0.37639,0.44673
13,mesa_bla_std,cvd_10y_HF,nPhysFac,currentSmoker,site,-0.24611,-0.70217,0.17537
14,mesa_bla_std,cvd_10y_HF,nPhysFac,alc,site,-0.20406,-0.89794,0.42714
15,mesa_bla_std,cvd_10y_HF,nRS,FamIncome,site,-0.03277,-0.17894,0.12576
16,mesa_bla_std,cvd_10y_HF,nRS,nutrition,site,-0.09849,-0.34816,0.16711
17,mesa_bla_std,cvd_10y_HF,nRS,PhysAct,site,-0.07237,-0.25704,0.11884
18,mesa_bla_std,cvd_10y_HF,nRS,currentSmoker,site,-0.03441,-0.22883,0.15754
19,mesa_bla_std,cvd_10y_HF,nRS,alc,site,-0.10253,-0.40952,0.19053
20,mesa_bla_std,cvd_10y_HF,nSES,FamIncome,,-0.06273,-0.33553,0.17951
21,mesa_bla_std,cvd_10y_HF,nSES,nutrition,,-0.03274,-0.6845,0.70172
22,mesa_bla_std,cvd_10y_HF,nSES,PhysAct,,0.25778,-0.1578,0.62136
23,mesa_bla_std,cvd_10y_HF,nSES,currentSmoker,,-0.02631,-0.42679,0.4117
24,mesa_bla_std,cvd_10y_HF,nSES,alc,,0.00603,-0.5827,0.60125
25,mesa_bla_std,cvd_10y_HF,nFavFood,FamIncome,,0.26397,0.00281,0.54017
26,mesa_bla_std,cvd_10y_HF,nFavFood,nutrition,,-0.21815,-0.70756,0.1867
27,mesa_bla_std,cvd_10y_HF,nFavFood,PhysAct,,0.11338,-0.14732,0.43087
28,mesa_bla_std,cvd_10y_HF,nFavFood,currentSmoker,,-0.18417,-0.47899,0.08275
29,mesa_bla_std,cvd_10y_HF,nFavFood,alc,,-0.22676,-0.63533,0.15329
30,mesa_bla_std,cvd_10y_HF,nPhysFac,FamIncome,,0.27246,-0.07155,0.63839
31,mesa_bla_std,cvd_10y_HF,nPhysFac,nutrition,,-0.09434,-0.89111,0.49171
32,mesa_bla_std,cvd_10y_HF,nPhysFac,PhysAct,,0.0081,-0.37139,0.55299
33,mesa_bla_std,cvd_10y_HF,nPhysFac,currentSmoker,,-0.25579,-0.76804,0.20257
34,mesa_bla_std,cvd_10y_HF,nPhysFac,alc,,-0.18569,-0.84488,0.44061
35,mesa_bla_std,cvd_10y_HF,nRS,FamIncome,,-0.03101,-0.17796,0.11203
36,mesa_bla_std,cvd_10y_HF,nRS,nutrition,,-0.10661,-0.38339,0.1507
37,mesa_bla_std,cvd_10y_HF,nRS,PhysAct,,-0.06056,-0.24344,0.12302
38,mesa_bla_std,cvd_10y_HF,nRS,currentSmoker,,-0.02725,-0.22187,0.15131
39,mesa_bla_std,cvd_10y_HF,nRS,alc,,-0.1068,-0.39421,0.16963
