,Data,Bootstrap Result Name,Mean,2.5%,97.5%
0,jhs_std,bp_1_nSES_FamIncome,-0.040281835846230706,-0.16683,0.09706
1,jhs_std,bp_2_nFavFood_FamIncome,-0.05071102708714907,-0.17793,0.07029
2,jhs_std,bp_3_nPhysFac_FamIncome,-0.007398848274834165,-0.13134,0.11437
3,jhs_std,bp_4_nRS_FamIncome,-0.013619467398296727,-0.14809,0.11941
4,jhs_std,bp_5_nSES_nutrition,-0.06517808717700002,-0.2844,0.15894
5,jhs_std,bp_6_nFavFood_nutrition,-0.09894528861773413,-0.3336,0.11269
6,jhs_std,bp_7_nPhysFac_nutrition,0.12451273670043235,-0.1077,0.36698
7,jhs_std,bp_8_nRS_nutrition,0.03006294592957105,-0.20142,0.29216
8,jhs_std,bp_9_nSES_PhysAct,-0.19729864526412097,-0.34043,-0.05327
9,jhs_std,bp_10_nFavFood_PhysAct,0.09823771307311989,-0.04845,0.24477
10,jhs_std,bp_11_nPhysFac_PhysAct,0.1673204162059245,0.0042,0.30974
11,jhs_std,bp_12_nRS_PhysAct,-0.038218140761014166,-0.20123,0.12674
12,jhs_std,bp_13_nSES_currentSmoker,0.07400870544400392,-0.28795,0.43855
13,jhs_std,bp_14_nFavFood_currentSmoker,0.014948686455213864,-0.34104,0.34855
14,jhs_std,bp_15_nPhysFac_currentSmoker,0.25324645683884783,-0.02266,0.52377
15,jhs_std,bp_16_nRS_currentSmoker,-0.22949252261972683,-0.57203,0.12224
16,jhs_std,bp_17_nSES_alc,-0.06650671156736612,-0.31891,0.1886
17,jhs_std,bp_18_nFavFood_alc,0.03548055658877703,-0.19076,0.25398
18,jhs_std,bp_19_nPhysFac_alc,0.1802751562034536,-0.04352,0.41541
19,jhs_std,bp_20_nRS_alc,0.1317371684138584,-0.10858,0.38534
