,Data,Y,X,moderator,other,mean_coef,ci_lower,ci_upper
0,mesa_bla_std,cvd_10y_noHF,nSES,FamIncome,site,-0.06617,-0.39296,0.24061
1,mesa_bla_std,cvd_10y_noHF,nSES,nutrition,site,0.02282,-0.72221,0.9234
2,mesa_bla_std,cvd_10y_noHF,nSES,PhysAct,site,0.24536,-0.2155,0.66263
3,mesa_bla_std,cvd_10y_noHF,nSES,currentSmoker,site,-0.14452,-0.65612,0.31465
4,mesa_bla_std,cvd_10y_noHF,nSES,alc,site,-0.08791,-0.82296,0.57948
5,mesa_bla_std,cvd_10y_noHF,nFavFood,FamIncome,site,0.26099,-0.0037,0.56579
6,mesa_bla_std,cvd_10y_noHF,nFavFood,nutrition,site,-0.24824,-0.81029,0.18302
7,mesa_bla_std,cvd_10y_noHF,nFavFood,PhysAct,site,0.08787,-0.16822,0.44317
8,mesa_bla_std,cvd_10y_noHF,nFavFood,currentSmoker,site,-0.10568,-0.43552,0.21185
9,mesa_bla_std,cvd_10y_noHF,nFavFood,alc,site,-0.21858,-0.63251,0.17687
10,mesa_bla_std,cvd_10y_noHF,nPhysFac,FamIncome,site,0.2135,-0.14967,0.683
11,mesa_bla_std,cvd_10y_noHF,nPhysFac,nutrition,site,0.06828,-0.94691,0.68515
12,mesa_bla_std,cvd_10y_noHF,nPhysFac,PhysAct,site,0.08122,-0.30884,0.57321
13,mesa_bla_std,cvd_10y_noHF,nPhysFac,currentSmoker,site,-0.11495,-0.61819,0.34131
14,mesa_bla_std,cvd_10y_noHF,nPhysFac,alc,site,-0.33063,-1.09316,0.40053
15,mesa_bla_std,cvd_10y_noHF,nRS,FamIncome,site,-0.05478,-0.2102,0.12448
16,mesa_bla_std,cvd_10y_noHF,nRS,nutrition,site,-0.0988,-0.38329,0.16163
17,mesa_bla_std,cvd_10y_noHF,nRS,PhysAct,site,-0.06063,-0.26205,0.15888
18,mesa_bla_std,cvd_10y_noHF,nRS,currentSmoker,site,-0.03023,-0.23306,0.17681
19,mesa_bla_std,cvd_10y_noHF,nRS,alc,site,-0.05119,-0.37661,0.23544
20,mesa_bla_std,cvd_10y_noHF,nSES,FamIncome,,-0.03969,-0.33304,0.25713
21,mesa_bla_std,cvd_10y_noHF,nSES,nutrition,,0.07653,-0.64754,0.97701
22,mesa_bla_std,cvd_10y_noHF,nSES,PhysAct,,0.2314,-0.22485,0.63851
23,mesa_bla_std,cvd_10y_noHF,nSES,currentSmoker,,-0.14025,-0.59162,0.34741
24,mesa_bla_std,cvd_10y_noHF,nSES,alc,,-0.09278,-0.80458,0.58509
25,mesa_bla_std,cvd_10y_noHF,nFavFood,FamIncome,,0.24655,-0.03038,0.55093
26,mesa_bla_std,cvd_10y_noHF,nFavFood,nutrition,,-0.27032,-0.77418,0.20227
27,mesa_bla_std,cvd_10y_noHF,nFavFood,PhysAct,,0.10485,-0.16337,0.45661
28,mesa_bla_std,cvd_10y_noHF,nFavFood,currentSmoker,,-0.09448,-0.42438,0.22893
29,mesa_bla_std,cvd_10y_noHF,nFavFood,alc,,-0.20267,-0.65171,0.21598
30,mesa_bla_std,cvd_10y_noHF,nPhysFac,FamIncome,,0.19938,-0.17884,0.58368
31,mesa_bla_std,cvd_10y_noHF,nPhysFac,nutrition,,0.096,-0.68779,0.73285
32,mesa_bla_std,cvd_10y_noHF,nPhysFac,PhysAct,,0.1105,-0.33844,0.70549
33,mesa_bla_std,cvd_10y_noHF,nPhysFac,currentSmoker,,-0.13586,-0.63515,0.34465
34,mesa_bla_std,cvd_10y_noHF,nPhysFac,alc,,-0.29942,-1.11111,0.46192
35,mesa_bla_std,cvd_10y_noHF,nRS,FamIncome,,-0.05084,-0.2056,0.11575
36,mesa_bla_std,cvd_10y_noHF,nRS,nutrition,,-0.10167,-0.38964,0.16164
37,mesa_bla_std,cvd_10y_noHF,nRS,PhysAct,,-0.05961,-0.25361,0.14155
38,mesa_bla_std,cvd_10y_noHF,nRS,currentSmoker,,-0.02227,-0.22392,0.17862
39,mesa_bla_std,cvd_10y_noHF,nRS,alc,,-0.04673,-0.36011,0.27815
