,Data,Y,X,moderator,other,mean_coef,ci_lower,ci_upper
0,mesa_std,cvd_10y_noHF,nSES,FamIncome,race_site,0.05975,-0.05876,0.17618
1,mesa_std,cvd_10y_noHF,nSES,nutrition,race_site,-0.07134,-0.28655,0.16052
2,mesa_std,cvd_10y_noHF,nSES,PhysAct,race_site,-0.0139,-0.15708,0.12008
3,mesa_std,cvd_10y_noHF,nSES,currentSmoker,race_site,-0.02633,-0.1926,0.14621
4,mesa_std,cvd_10y_noHF,nSES,alc,race_site,0.07082,-0.15455,0.3103
5,mesa_std,cvd_10y_noHF,nFavFood,FamIncome,race_site,0.11507,0.00405,0.23072
6,mesa_std,cvd_10y_noHF,nFavFood,nutrition,race_site,0.08461,-0.16006,0.2992
7,mesa_std,cvd_10y_noHF,nFavFood,PhysAct,race_site,0.0035,-0.13109,0.16362
8,mesa_std,cvd_10y_noHF,nFavFood,currentSmoker,race_site,-0.09667,-0.28253,0.07693
9,mesa_std,cvd_10y_noHF,nFavFood,alc,race_site,-0.15965,-0.38091,0.07582
10,mesa_std,cvd_10y_noHF,nPhysFac,FamIncome,race_site,0.01754,-0.08343,0.1279
11,mesa_std,cvd_10y_noHF,nPhysFac,nutrition,race_site,0.07434,-0.13637,0.27736
12,mesa_std,cvd_10y_noHF,nPhysFac,PhysAct,race_site,0.026,-0.12047,0.20388
13,mesa_std,cvd_10y_noHF,nPhysFac,currentSmoker,race_site,-0.07174,-0.25942,0.08859
14,mesa_std,cvd_10y_noHF,nPhysFac,alc,race_site,-0.20914,-0.43487,0.04612
15,mesa_std,cvd_10y_noHF,nRS,FamIncome,race_site,-5e-05,-0.1066,0.105
16,mesa_std,cvd_10y_noHF,nRS,nutrition,race_site,-0.02884,-0.20822,0.15606
17,mesa_std,cvd_10y_noHF,nRS,PhysAct,race_site,0.05713,-0.05904,0.1943
18,mesa_std,cvd_10y_noHF,nRS,currentSmoker,race_site,0.0317,-0.10563,0.17154
19,mesa_std,cvd_10y_noHF,nRS,alc,race_site,0.07741,-0.12201,0.27796
20,mesa_std,cvd_10y_noHF,nSES,FamIncome,race,0.06878,-0.04666,0.1872
21,mesa_std,cvd_10y_noHF,nSES,nutrition,race,-0.07771,-0.29735,0.1468
22,mesa_std,cvd_10y_noHF,nSES,PhysAct,race,-0.01343,-0.15938,0.11971
23,mesa_std,cvd_10y_noHF,nSES,currentSmoker,race,-0.01879,-0.19817,0.14624
24,mesa_std,cvd_10y_noHF,nSES,alc,race,0.07344,-0.1631,0.31046
25,mesa_std,cvd_10y_noHF,nFavFood,FamIncome,race,0.09985,-0.01396,0.2142
26,mesa_std,cvd_10y_noHF,nFavFood,nutrition,race,0.09555,-0.15277,0.31767
27,mesa_std,cvd_10y_noHF,nFavFood,PhysAct,race,0.00253,-0.14005,0.15712
28,mesa_std,cvd_10y_noHF,nFavFood,currentSmoker,race,-0.10019,-0.27561,0.07575
29,mesa_std,cvd_10y_noHF,nFavFood,alc,race,-0.1449,-0.38195,0.07926
30,mesa_std,cvd_10y_noHF,nPhysFac,FamIncome,race,-0.00209,-0.11147,0.11558
31,mesa_std,cvd_10y_noHF,nPhysFac,nutrition,race,0.08814,-0.11936,0.29314
32,mesa_std,cvd_10y_noHF,nPhysFac,PhysAct,race,0.02961,-0.11568,0.2071
33,mesa_std,cvd_10y_noHF,nPhysFac,currentSmoker,race,-0.07505,-0.26713,0.10456
34,mesa_std,cvd_10y_noHF,nPhysFac,alc,race,-0.22233,-0.46219,0.05504
35,mesa_std,cvd_10y_noHF,nRS,FamIncome,race,-0.01481,-0.10991,0.08186
36,mesa_std,cvd_10y_noHF,nRS,nutrition,race,-0.02572,-0.21238,0.15234
37,mesa_std,cvd_10y_noHF,nRS,PhysAct,race,0.05185,-0.06789,0.17704
38,mesa_std,cvd_10y_noHF,nRS,currentSmoker,race,0.02686,-0.10946,0.17002
39,mesa_std,cvd_10y_noHF,nRS,alc,race,0.06096,-0.15412,0.24918
40,mesa_std,cvd_10y_noHF,nSES,FamIncome,site,0.04796,-0.07069,0.16632
41,mesa_std,cvd_10y_noHF,nSES,nutrition,site,-0.0831,-0.30031,0.14851
42,mesa_std,cvd_10y_noHF,nSES,PhysAct,site,-0.01975,-0.16082,0.11416
43,mesa_std,cvd_10y_noHF,nSES,currentSmoker,site,-0.02682,-0.19188,0.14482
44,mesa_std,cvd_10y_noHF,nSES,alc,site,0.0622,-0.18667,0.31813
45,mesa_std,cvd_10y_noHF,nFavFood,FamIncome,site,0.11014,-0.00921,0.23477
46,mesa_std,cvd_10y_noHF,nFavFood,nutrition,site,0.09089,-0.15183,0.32972
47,mesa_std,cvd_10y_noHF,nFavFood,PhysAct,site,-0.0017,-0.13673,0.15059
48,mesa_std,cvd_10y_noHF,nFavFood,currentSmoker,site,-0.10117,-0.27185,0.05465
49,mesa_std,cvd_10y_noHF,nFavFood,alc,site,-0.15842,-0.38437,0.07878
50,mesa_std,cvd_10y_noHF,nPhysFac,FamIncome,site,0.01716,-0.09815,0.1288
51,mesa_std,cvd_10y_noHF,nPhysFac,nutrition,site,0.09103,-0.11412,0.31449
52,mesa_std,cvd_10y_noHF,nPhysFac,PhysAct,site,0.02933,-0.11188,0.20445
53,mesa_std,cvd_10y_noHF,nPhysFac,currentSmoker,site,-0.06689,-0.25076,0.09607
54,mesa_std,cvd_10y_noHF,nPhysFac,alc,site,-0.22442,-0.45203,0.04259
55,mesa_std,cvd_10y_noHF,nRS,FamIncome,site,-0.01195,-0.12043,0.10649
56,mesa_std,cvd_10y_noHF,nRS,nutrition,site,-0.03348,-0.23505,0.15231
57,mesa_std,cvd_10y_noHF,nRS,PhysAct,site,0.054,-0.07035,0.19459
58,mesa_std,cvd_10y_noHF,nRS,currentSmoker,site,0.02382,-0.12363,0.17364
59,mesa_std,cvd_10y_noHF,nRS,alc,site,0.0858,-0.12765,0.31487
60,mesa_std,cvd_10y_noHF,nSES,FamIncome,,0.06057,-0.05222,0.18276
61,mesa_std,cvd_10y_noHF,nSES,nutrition,,-0.0835,-0.29761,0.13803
62,mesa_std,cvd_10y_noHF,nSES,PhysAct,,-0.0194,-0.15728,0.11276
63,mesa_std,cvd_10y_noHF,nSES,currentSmoker,,-0.02246,-0.19147,0.15342
64,mesa_std,cvd_10y_noHF,nSES,alc,,0.07043,-0.16083,0.31769
65,mesa_std,cvd_10y_noHF,nFavFood,FamIncome,,0.10263,-0.01839,0.22977
66,mesa_std,cvd_10y_noHF,nFavFood,nutrition,,0.09477,-0.12178,0.31293
67,mesa_std,cvd_10y_noHF,nFavFood,PhysAct,,-0.00416,-0.1398,0.1549
68,mesa_std,cvd_10y_noHF,nFavFood,currentSmoker,,-0.10343,-0.2749,0.07001
69,mesa_std,cvd_10y_noHF,nFavFood,alc,,-0.14859,-0.37019,0.10936
70,mesa_std,cvd_10y_noHF,nPhysFac,FamIncome,,0.00507,-0.11515,0.13616
71,mesa_std,cvd_10y_noHF,nPhysFac,nutrition,,0.08849,-0.12973,0.29084
72,mesa_std,cvd_10y_noHF,nPhysFac,PhysAct,,0.02646,-0.12897,0.20348
73,mesa_std,cvd_10y_noHF,nPhysFac,currentSmoker,,-0.06764,-0.24351,0.09371
74,mesa_std,cvd_10y_noHF,nPhysFac,alc,,-0.22222,-0.46255,0.05028
75,mesa_std,cvd_10y_noHF,nRS,FamIncome,,-0.01883,-0.11786,0.08352
76,mesa_std,cvd_10y_noHF,nRS,nutrition,,-0.0264,-0.22414,0.17037
77,mesa_std,cvd_10y_noHF,nRS,PhysAct,,0.05357,-0.05917,0.18696
78,mesa_std,cvd_10y_noHF,nRS,currentSmoker,,0.01656,-0.12785,0.16433
79,mesa_std,cvd_10y_noHF,nRS,alc,,0.06969,-0.13328,0.29113
