"Data","Y","X","TotalEffect_b1","DirectEffect_b3","Me","b2","b4","IndirectEffect_b2_b4"
"jhs","cvd_10y_HF","nFavFood","0.030 [-0.075, 0.128]","0.006 [-0.103, 0.106]","FamIncome","-0.134 [-0.165, -0.104]","-0.140 [-0.265, -0.024]","0.019 [0.003, 0.038]"
"jhs","cvd_10y_HF","nFavFood","0.030 [-0.075, 0.128]","0.006 [-0.103, 0.106]","nutrition","-0.004 [-0.019, 0.012]","-0.021 [-0.252, 0.209]","0.000 [-0.002, 0.002]"
"jhs","cvd_10y_HF","nFavFood","0.030 [-0.075, 0.128]","0.006 [-0.103, 0.106]","PhysAct","-0.033 [-0.056, -0.008]","-0.106 [-0.262, 0.061]","0.003 [-0.002, 0.011]"
"jhs","cvd_10y_HF","nFavFood","0.030 [-0.075, 0.128]","0.006 [-0.103, 0.106]","currentSmoker","0.014 [0.004, 0.025]","0.689 [0.337, 1.021]","0.010 [0.002, 0.020]"
"jhs","cvd_10y_HF","nFavFood","0.030 [-0.075, 0.128]","0.006 [-0.103, 0.106]","alc","0.011 [-0.004, 0.026]","-0.054 [-0.323, 0.194]","-0.001 [-0.005, 0.003]"
"jhs","cvd_10y_HF","nPhysFac","0.052 [-0.064, 0.163]","0.031 [-0.084, 0.147]","FamIncome","-0.074 [-0.103, -0.045]","-0.132 [-0.266, 0.001]","0.010 [-0.000, 0.021]"
"jhs","cvd_10y_HF","nPhysFac","0.052 [-0.064, 0.163]","0.031 [-0.084, 0.147]","nutrition","-0.009 [-0.024, 0.006]","-0.018 [-0.234, 0.205]","0.000 [-0.003, 0.003]"
"jhs","cvd_10y_HF","nPhysFac","0.052 [-0.064, 0.163]","0.031 [-0.084, 0.147]","PhysAct","-0.011 [-0.036, 0.012]","-0.109 [-0.279, 0.056]","0.001 [-0.002, 0.006]"
"jhs","cvd_10y_HF","nPhysFac","0.052 [-0.064, 0.163]","0.031 [-0.084, 0.147]","currentSmoker","0.008 [-0.002, 0.019]","0.694 [0.338, 1.019]","0.006 [-0.001, 0.015]"
"jhs","cvd_10y_HF","nPhysFac","0.052 [-0.064, 0.163]","0.031 [-0.084, 0.147]","alc","0.006 [-0.010, 0.022]","-0.051 [-0.314, 0.212]","-0.000 [-0.004, 0.003]"
"jhs","cvd_10y_HF","nRS","0.077 [-0.037, 0.202]","0.043 [-0.071, 0.168]","FamIncome","-0.136 [-0.164, -0.107]","-0.138 [-0.266, -0.015]","0.019 [0.002, 0.038]"
