"boot","b1","b21","b22","b23","b3","b41","b42","b43"
1,0.190963148566025,-0.227551417317871,-0.0982456425450914,0.0164997545623164,0.119795396159254,-0.181325393832257,-0.141779845624736,0.679211401100042
2,0.0638507297069514,-0.254153374596443,-0.105020793289409,0.0286827869018105,-0.0283727196734821,-0.225157750013253,-0.139344026052334,0.543230715385549
3,0.106857035075222,-0.231295327698303,-0.0919555177178642,0.0251334484221391,0.0327033594122469,-0.207240330825276,-0.0960421978559825,0.548442559014795
4,0.0768774679391908,-0.255773365499902,-0.0995811399305274,0.0118674495540902,0.0285745390784878,-0.106119231413855,-0.062852772601079,0.723036122547253
5,0.0945574578420804,-0.249464149341063,-0.0940904775847917,0.0221827074212048,0.0321391936033381,-0.1345448638218,-0.116377102401565,0.523738662598611
6,0.0526696771507908,-0.255777093325911,-0.101216033836382,0.0224176689838382,0.0267311406118222,-0.00888957443723069,-0.054051511325051,0.583714512951611
7,0.0871590181354907,-0.243893536535774,-0.0937045420625423,0.0182340081295226,0.0180731563825563,-0.117128399213586,-0.155791846651015,0.897580264637448
8,0.0387597476812559,-0.257355233381084,-0.0885233759026719,0.0216770645920588,-0.0410373650004179,-0.227680348868156,-0.0120272658737469,0.395726708908818
9,0.119737461788319,-0.244542976313191,-0.0932557501432982,0.0254048015426012,0.0478499149663711,-0.0826772364253029,-0.203856021552298,0.780566470504208
10,0.103714363522047,-0.248639490265413,-0.0946973761425493,0.022284224319517,0.0270312113838961,-0.125982647608136,-0.205331202072285,0.665222293357722
11,0.0674659099878603,-0.233779511140584,-0.0898013862178602,0.0201366199240436,0.0117019954324418,-0.083655261570772,-0.0406755120213205,1.04027998876182
12,0.0474867146232618,-0.245031341440515,-0.0822004653075866,0.0174459639116939,-0.0224269482362958,-0.139746573757842,-0.217655857915763,0.636102998963295
13,0.201866557020854,-0.25733774105556,-0.0904193217390391,0.0232918728229396,0.159881517128028,-0.0609683724586125,-0.130026803410491,0.501264202254449
14,-0.00696335057508819,-0.224642497319504,-0.0922987122977625,0.0266671032044018,-0.0896544693093703,-0.190554594186354,-0.179141320095326,0.6763775545887
15,0.0470509301666742,-0.244917342016459,-0.105405954948837,0.0206306052529233,-0.0247073747761067,-0.170281001144917,-0.0736143266153865,0.716280134805339
16,0.106687165628029,-0.236372975181025,-0.104331799966159,0.0177441721262931,-0.00693409684761256,-0.355620442530362,-0.125287468360397,0.465293561749183
17,-0.0392449212487558,-0.207524018159835,-0.0834281573399931,0.0160928590631898,-0.121692846267646,-0.228008643533221,-0.111886992838817,0.735785094863442
18,0.0839124532326682,-0.243213391687547,-0.0948359687694451,0.0208486467373956,0.0270124385150308,-0.14901978424945,-0.0241261687220639,0.496386797968599
